Lookback,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
5,5,0.01,0.03,10000,9280.807460291999,-3.0939752562822496,-0.20628231735250097,-0.010465210860676609,9.981836072796183,-0.07463653917382976,-0.014828128613702592,-0.07191925397080012,704.7956117080003,183,0.3770491803278688,1.2426512117085706
5,5,0.01,0.05,10000,9049.568223859987,-2.0587314217722477,-0.2835307291418048,-0.011630143641945671,12.733124931642134,-0.0998680464910922,-0.01979100902858926,-0.09504317761400125,654.8437901399998,172,0.3430232558139535,1.285707924993298
5,5,0.01,0.07,10000,8979.635380111997,-1.8452502239140216,-0.3099917982254716,-0.011907632835252306,13.550768819474365,-0.10762581505528655,-0.021311882806546764,-0.10203646198880033,645.1769098879997,170,0.3352941176470588,1.2896219954887296
5,5,0.02,0.03,10000,9586.429007391991,-1.6409726941717269,-0.1115535028840725,-0.007311027226427049,9.018681175765435,-0.04223663972244396,-0.008418402613306022,-0.041357099260800896,661.3812686080003,171,0.42105263157894735,1.1727984461877972
5,5,0.02,0.05,10000,9476.750453111992,-1.221207687082191,-0.14842280900931532,-0.008703061632302611,10.257785026512073,-0.05374361469693233,-0.010699608034036977,-0.05232495468880079,614.3869788880005,159,0.4088050314465409,1.1756268593910972
5,5,0.02,0.07,10000,9420.15877438199,-1.0457497970603564,-0.1664237877028172,-0.008880600960100953,11.26951067921258,-0.05973314951788325,-0.011884928500101873,-0.057984122561801084,606.7439486180002,157,0.40764331210191085,1.1520502892999163
5,5,0.03,0.03,10000,9747.051458076001,-2.069069581520223,-0.05941243940462502,-0.005488907073506188,7.416382359673814,-0.02562026827710062,-0.0051149972164615904,-0.025294854192399907,644.9685180060003,166,0.4759036144578313,0.9982454868372421
5,5,0.03,0.05,10000,9710.639644962002,-1.2909103150356647,-0.08081345026913322,-0.006097606723906217,8.12619337940242,-0.02936293799311243,-0.005860014824145917,-0.028936035503799758,605.0874241200004,155,0.45806451612903226,1.0525952848325228
5,5,0.03,0.07,10000,9639.593415205994,-1.0256952932233152,-0.10104124349699446,-0.0067786057155814145,9.194334786457127,-0.03670616210691077,-0.0073201397306655504,-0.03604065847940056,597.3289338760005,153,0.45751633986928103,1.0246729820451874
5,7,0.01,0.03,10000,9360.185517298005,-3.068775587276712,-0.19329558624352977,-0.01053427452187267,9.459650741294903,-0.06611998247681719,-0.013147309137460546,-0.06398144827019951,680.8251457020003,177,0.384180790960452,1.2303193511747765
5,7,0.01,0.05,10000,9249.479770031996,-1.580582339127083,-0.23812238485680035,-0.011469995726115734,11.18502332959119,-0.07801778412892257,-0.015494653691987935,-0.0750520229968004,614.0982619680003,161,0.36024844720496896,1.2781977795510544
5,7,0.01,0.07,10000,9200.303108645992,-1.7046117561602607,-0.26184942725320787,-0.012096737740820976,11.598559049030335,-0.08334866288982246,-0.016544582893192755,-0.07996968913540077,596.3191303540001,157,0.3503184713375796,1.3012307828068777
5,7,0.02,0.03,10000,9541.853566789998,-1.2272114269997336,-0.13932541639756438,-0.007710377026759047,10.26985560527058,-0.04689733219373858,-0.009342996803423492,-0.04581464332100022,620.2759782100002,161,0.4409937888198758,1.0633275281956724
5,7,0.02,0.05,10000,9331.290701284008,-0.9860492245116326,-0.2254918817858986,-0.010074907383943696,12.33942463471772,-0.06921174887271526,-0.013757828496303864,-0.06687092987159922,567.154538716,148,0.41216216216216217,1.091461566253754
5,7,0.02,0.07,10000,9343.974140685996,-0.8994989159299505,-0.22708118131110638,-0.009999021096917414,12.713133730694672,-0.06785343438995817,-0.013489653829351942,-0.06560258593140042,546.1930743140001,142,0.4154929577464789,1.067718327521436
5,7,0.03,0.03,10000,9544.384229117983,-1.2382460414701015,-0.1245290287177473,-0.008288223532437852,10.024543749547606,-0.04663215029986552,-0.009290412815622774,-0.045561577088201737,588.3691058820003,153,0.49019607843137253,0.8705910942064514
5,7,0.03,0.05,10000,9316.567396481987,-0.9594186280504948,-0.20479070675486027,-0.01115709188562263,12.15513563749168,-0.07079083723602585,-0.014069499343231075,-0.06834326035180129,531.7916865180002,139,0.460431654676259,0.8939122542866702
5,7,0.03,0.07,10000,9236.890510957997,-0.9662535441674817,-0.23223807968121182,-0.012079163383600584,13.087070602008328,-0.07937978876572187,-0.0157630102907867,-0.07631094890420027,508.49101204200014,133,0.45112781954887216,0.8865639558024208
5,9,0.01,0.03,10000,9342.275362267992,-2.4999544514023686,-0.2146280095822661,-0.010691123968951019,9.633289786497055,-0.06803525561870873,-0.013525555374534681,-0.0657724637732008,675.1143237320002,176,0.36363636363636365,1.3404882381223668
5,9,0.01,0.05,10000,9108.95019334598,-1.5958160711924934,-0.30650681852809863,-0.012687916017191478,12.227218189869502,-0.09332762509724059,-0.018506954323907903,-0.08910498066540204,597.0169796540004,158,0.3291139240506329,1.3736134057277323
5,9,0.01,0.07,10000,9143.353422247992,-1.3345432636677077,-0.32436188825796863,-0.011680346364991127,13.208681980403755,-0.08955787960444923,-0.017766091288957356,-0.0856646577752008,579.0520637520003,152,0.3026315789473684,1.5610224346797268
5,9,0.02,0.03,10000,9456.19298074597,-1.0540918967429849,-0.1726064338684987,-0.007675457100841391,12.100367031581321,-0.05591522425323133,-0.011129530710376156,-0.054380701925403084,608.2172962540002,159,0.4276729559748428,1.0983148439114987
5,9,0.02,0.05,10000,9105.625367559995,-1.061430192651138,-0.31123161882139716,-0.011624953776793054,14.811619613036017,-0.09369269820166676,-0.01857867196705369,-0.08943746324400054,538.41902644,143,0.3776223776223776,1.1532746401517677
5,9,0.02,0.07,10000,9072.796521285985,-0.9264364272356165,-0.35185309186405145,-0.011792264009545526,16.278589654124296,-0.09730454989745442,-0.019287928322767336,-0.09272034787140146,504.99660371400006,133,0.3533834586466165,1.2341326001636599
5,9,0.03,0.03,10000,9535.023363955974,-1.0388961834564066,-0.13004985435075173,-0.007332316955212318,11.317695248471981,-0.04761340360843323,-0.009484975550384845,-0.04649766360440263,569.9061441240001,149,0.48322147651006714,0.9022664740677038
5,9,0.03,0.05,10000,9297.961407467988,-0.8251604801982959,-0.22160087808970008,-0.010582163127954883,13.8541446450165,-0.07278992036149948,-0.014463924930550083,-0.07020385925320115,500.3670145320001,132,0.44696969696969696,0.9297872364261135
5,9,0.03,0.07,10000,9063.671700889983,-0.9356411559832297,-0.3259196414484756,-0.01257131261612589,16.441367742380994,-0.09831079003794281,-0.019485431567694646,-0.09363282991100168,472.90036211000006,125,0.392,1.048147943067969
5,11,0.01,0.03,10000,9398.447817250002,-2.5779653932598645,-0.19517140237210542,-0.010434899454793829,9.088697546318661,-0.0620405431773253,-0.012341179411005656,-0.06015521827499979,674.0678157500004,175,0.37714285714285717,1.2893456198263853
5,11,0.01,0.05,10000,9186.260217193993,-1.5618668035038858,-0.2898264951126342,-0.012410701363275812,11.88912212288481,-0.08487617990686032,-0.016845224548842453,-0.08137397828060075,572.6376218060003,151,0.2847682119205298,1.7517248458270702
5,11,0.01,0.07,10000,9308.806329388004,-1.2213201788708836,-0.26991015539644947,-0.011608648052994688,11.403539283100793,-0.07162422373955639,-0.01423394838753647,-0.06911936706119959,548.8087446120003,143,0.26573426573426573,2.0183589382463016
5,11,0.02,0.03,10000,9553.09077415998,-0.9157755012851458,-0.14630214377286174,-0.006766949615367493,11.801912352012618,-0.04572034958865029,-0.009109586874509948,-0.044690922584001966,599.1034678400001,156,0.4423076923076923,1.0638817784927026
5,11,0.02,0.05,10000,9183.68376943198,-1.0769427305595616,-0.29543776965429785,-0.012070437983392072,13.804461947905432,-0.08515668678056458,-0.016900423143363638,-0.08163162305680198,511.1759985680002,135,0.3333333333333333,1.4487265073131503
5,11,0.02,0.07,10000,9249.126082080007,-0.9341893632019136,-0.29298171084548263,-0.011553428826136743,14.33137116693858,-0.07805602354597488,-0.015502189025702343,-0.07508739179199929,476.6416139199999,125,0.304,1.6735875146420103
5,11,0.03,0.03,10000,9496.393878227978,-1.1507043102001806,-0.14816105517718345,-0.008274316067766291,11.521854656517085,-0.051672958216217625,-0.010289497381830787,-0.05036061217720217,562.1036837720002,147,0.47619047619047616,0.9130788786646719
5,11,0.03,0.05,10000,8938.529753915991,-1.1913051881893904,-0.34690471448434457,-0.013731333154325717,16.5911411722016,-0.11221397438954424,-0.022210258955154813,-0.10614702460840089,477.77558408400006,128,0.375,1.117365115494687
5,11,0.03,0.07,10000,9033.012316427968,-1.0773539368875706,-0.3461628683185282,-0.013860775548342828,16.340465386914797,-0.10169919133474485,-0.020150209257257058,-0.09669876835720315,438.43914757200014,117,0.3418803418803419,1.3086227253302
5,13,0.01,0.03,10000,9379.835988188004,-2.7556400434221744,-0.20235799455724093,-0.010604070430561337,9.269139324872526,-0.06402281539658482,-0.0127329744182845,-0.06201640118119958,670.2496758120004,174,0.367816091954023,1.3319146997636384
5,13,0.01,0.05,10000,9086.989134251997,-1.5435931226279251,-0.3317231696925553,-0.014346709569118132,11.787268184397993,-0.09574146802800194,-0.01898105015191584,-0.09130108657480032,555.1427377480002,148,0.27702702702702703,1.7254928277205528
