Lookback,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
5,5,0.01,0.03,10000,9559.818498170003,-0.5849808546942789,-0.07723089520545039,-0.00689955829998501,8.405156134825042,-0.045016351658034366,-0.008977047485246128,-0.04401815018299967,804.26100083,205,0.4878048780487805,0.9305524513815554
5,5,0.01,0.05,10000,9272.984460912008,-0.9673612286847609,-0.12377023512693044,-0.00876639858660029,11.572232035391501,-0.07547981691207357,-0.015006230611732792,-0.07270155390879918,739.4648210879998,194,0.42783505154639173,1.106496746748163
5,5,0.01,0.07,10000,9071.483341514002,-1.22680722739142,-0.16367394104086905,-0.00974808675400183,13.618991390765004,-0.09744929852172676,-0.019331547227825756,-0.0928516658485998,720.405901486,190,0.4105263157894737,1.1219511193276188
5,5,0.02,0.03,10000,9521.931339385988,-0.5812238326125814,-0.08286906924824664,-0.007068018030654805,9.214151253538748,-0.048987392982226916,-0.009765063958491802,-0.04780686606140116,775.0186616140006,198,0.5454545454545454,0.729412967531739
5,5,0.02,0.05,10000,9254.014528906002,-0.8653867354103219,-0.12212581903798556,-0.008642574170931885,12.442448889983764,-0.07752763249685439,-0.015410206228831694,-0.07459854710939981,718.0749020940002,188,0.48404255319148937,0.877759349821083
5,5,0.02,0.07,10000,9142.413572698011,-0.999206241001264,-0.14790895727848472,-0.009570276773931892,13.447898838597371,-0.08966067535275637,-0.017800312980273722,-0.08575864273019888,689.1458423020001,181,0.4585635359116022,0.9437336784858769
5,5,0.03,0.03,10000,9427.174235533994,-0.5729021139176603,-0.09529174123976474,-0.007199278242051046,11.131806877792165,-0.058988698144066536,-0.011746955361389411,-0.05728257644660061,749.2857614660003,193,0.5647668393782384,0.6598303178994412
5,5,0.03,0.05,10000,8855.862244168005,-1.0443038653830108,-0.17620565964925516,-0.01106325439040732,15.33342704839911,-0.12150545279360506,-0.0240459026150334,-0.11441377558319946,697.0071818319999,185,0.5135135135135135,0.7097349309160953
5,5,0.03,0.07,10000,8801.24214796798,-1.141778868306897,-0.19406300079795366,-0.011216567585937936,16.603794334583803,-0.12769222829287794,-0.0252546750862588,-0.11987578520320204,663.927382032,177,0.4915254237288136,0.7635205743847473
5,7,0.01,0.03,10000,9614.132391868006,-0.560465540968811,-0.06941980010950016,-0.005861132061241218,8.804286649573996,-0.03935095287983361,-0.007851715774866787,-0.03858676081319936,798.157100132,203,0.4827586206896552,0.966108834282508
