Lookback,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
5,5,0.01,0.03,10000,8604.84798490601,-1.6991422425552094,-0.3193580395585123,-0.013512027046436056,14.155561053966272,-0.15025932938943287,-0.0296511598248027,-0.13951520150939906,720.8919600939995,200,0.355,1.1039766075004904
5,5,0.01,0.05,10000,8452.849701732004,-1.596430444984131,-0.3743341958870508,-0.0143800176642258,15.661741432861692,-0.16808146567001606,-0.03310921999401768,-0.15471502982679958,679.1801402680005,190,0.32105263157894737,1.2254887533586647
5,5,0.01,0.07,10000,8250.049267983994,-1.474991038776361,-0.4235214081556967,-0.014800170551903831,17.684994143151958,-0.19236592078844,-0.037801347151698424,-0.17499507320160065,657.4908400160004,187,0.2994652406417112,1.2671961583430715
5,5,0.02,0.03,10000,8493.710562199998,-1.245694073641323,-0.32202587539090705,-0.014133536907046265,15.747945930907042,-0.16325913724276975,-0.03217475317642336,-0.1506289437800002,661.0696798,187,0.3850267379679144,0.9780665651241738
5,5,0.02,0.05,10000,8290.061152778,-1.150184355049664,-0.4009495036829757,-0.016119162289396045,17.178032607662814,-0.18752774718189053,-0.036868358067948734,-0.17099388472219998,608.1086202220005,173,0.34104046242774566,1.1091782591723625
5,5,0.02,0.07,10000,8121.452137133982,-1.1726837792856486,-0.45930961025490696,-0.01665658948074017,18.86252324511045,-0.20807612018705238,-0.04082466042444639,-0.18785478628660177,587.9776998659999,169,0.3254437869822485,1.1183198992009964
5,5,0.03,0.03,10000,8492.653027839997,-1.1217049726925579,-0.31620999394467414,-0.014411790037866117,15.895249809654986,-0.1633836529292217,-0.032198893078141534,-0.1507346972160003,642.3870801600003,182,0.41208791208791207,0.8866600027424981
5,5,0.03,0.05,10000,8220.562247219994,-1.0718150870730077,-0.4030319670123204,-0.01636394980547708,17.998226127601136,-0.19594648636001527,-0.038491238241243286,-0.17794377527800062,593.71736078,170,0.36470588235294116,0.995529138898436
5,5,0.03,0.07,10000,7987.002210577992,-1.1381433968529957,-0.4741395944343408,-0.0169933437359202,20.32803481152948,-0.22476959628682866,-0.044026788844676944,-0.20129977894220083,573.1073804219999,166,0.3493975903614458,0.9783485186685655
5,7,0.01,0.03,10000,8609.55564303801,-1.8538109391576674,-0.3214048743012171,-0.01371212047563465,14.108554414046113,-0.14971238528946829,-0.029544839933464614,-0.13904443569619906,712.6644799619996,197,0.3604060913705584,1.0759692626089767
5,7,0.01,0.05,10000,8629.443683362017,-1.6388157493564666,-0.34119114140656404,-0.014805021802356086,14.103713151438354,-0.14740505308639207,-0.029096191795014284,-0.13705563166379833,653.9265796379999,180,0.3111111111111111,1.3740923964390945
5,7,0.01,0.07,10000,8447.447759589993,-1.3633924743094437,-0.3898809736771558,-0.015444381488899704,15.905825390783493,-0.168720737533525,-0.03323302981671205,-0.15525522404100064,624.4325594100003,175,0.2857142857142857,1.445536041899637
5,7,0.02,0.03,10000,8575.32665569799,-1.1843527134090843,-0.31458618205801053,-0.01383526397922092,15.65461390330991,-0.15369600670864922,-0.030318945449433258,-0.14246733443020093,643.043539302,181,0.40331491712707185,0.9259933726283985
