trail_percent,long_spike,short_spike,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
0.01,1.03,0.9,10000,9913.759478737999,-0.8117442251810796,-0.08866637169016565,-0.015780301853178108,3.753598495393056,-0.008661454458772628,-0.010438818580448385,-0.00862405212620015,151.73140226200002,40,0.5,0.9049561829151657
0.01,1.03,0.91,10000,9913.759478737999,-0.8117442251810796,-0.08866637169016565,-0.015780301853178108,3.753598495393056,-0.008661454458772628,-0.010438818580448385,-0.00862405212620015,151.73140226200002,40,0.5,0.9049561829151657
0.01,1.03,0.92,10000,9892.38694178,-0.93268701180208,-0.10913965610157658,-0.019346384662370025,3.673627219785545,-0.010819627462224693,-0.013022853978354065,-0.010761305822000031,154.97897222000006,41,0.4878048780487805,0.9283377286880535
0.01,1.03,0.93,10000,9855.096311709998,-1.1874689432557335,-0.10913965610157658,-0.019346384662370025,3.673627219785545,-0.01459637955938961,-0.017528629629615763,-0.014490368829000181,154.97897222000006,42,0.47619047619047616,0.9283377286880535
0.01,1.03,0.94,10000,9862.773897737998,-1.1296668277021251,-0.09945582270309103,-0.017986805525557835,3.5984312407678303,-0.013817635573913729,-0.016601251809402827,-0.013722610226200232,158.50137219200008,43,0.4883720930232558,0.8923977590450616
0.01,1.03,0.95,10000,9632.902779645998,-7.395644076194546,-0.24778797641645894,-0.03580537111139953,5.304542244651725,-0.037400481696977086,-0.04430085950453786,-0.036709722035400225,177.66656028400004,48,0.4375,0.8918749961292802
0.01,1.03,0.96,10000,9760.166161594003,-9.688700496726995,-0.1456092995672732,-0.021190596090372465,5.226482249143092,-0.024275667960480148,-0.02898261382023223,-0.02398338384059971,190.66320033600007,51,0.47058823529411764,0.8982346450933847
0.01,1.03,0.97,10000,9846.559175574002,-4.468531301478007,-0.0974924108493185,-0.013343387347745714,4.636536375815575,-0.015463021114038255,-0.0185596533111545,-0.015344082442599756,203.12109835600006,54,0.46296296296296297,1.012623159739538
0.01,1.04,0.9,10000,9901.016856076,-1.729429723318219,-0.12119127113401675,-0.035735714004684456,2.3448270262591264,-0.009947628393143807,-0.011979600716545536,-0.009898314392400062,117.388891924,31,0.5161290322580645,0.7885217378276529
0.01,1.04,0.91,10000,9901.016856076,-1.729429723318219,-0.12119127113401675,-0.035735714004684456,2.3448270262591264,-0.009947628393143807,-0.011979600716545536,-0.009898314392400062,117.388891924,31,0.5161290322580645,0.7885217378276529
0.01,1.04,0.92,10000,9870.327204132,-2.329637660845512,-0.15682446581325193,-0.044930388517368504,2.35196312591226,-0.013052088716995341,-0.01568873672558654,-0.012967279586800032,121.19857186800002,32,0.5,0.8015952741268476
0.01,1.04,0.93,10000,9859.697054061999,-2.6041624783511588,-0.12173097174575458,-0.03923017303536937,2.2263781444079593,-0.014129649591678525,-0.016972922983906066,-0.014030294593800136,124.77809186800002,34,0.5,0.7928347370405482
0.01,1.04,0.94,10000,9867.374640089998,-2.4016025650241857,-0.10965672425531206,-0.03578829204609368,2.150243412382279,-0.0133512688431648,-0.01604545363356169,-0.013262535991000185,128.30049184,35,0.5142857142857142,0.7592301612275761
0.01,1.04,0.95,10000,9634.570439004,-7.4147746551712475,-0.27553355879689456,-0.05202891024475218,4.359664637833158,-0.037227375515046464,-0.04410040467654103,-0.03654295609960009,147.39875992600005,40,0.45,0.7446590272832657
0.01,1.04,0.96,10000,9736.468297958003,-2.675580533343826,-0.1782788413442944,-0.03304878102924217,4.303213937791368,-0.02670663883964483,-0.03183826120681875,-0.026353170204199704,164.42091997200006,44,0.4772727272727273,0.795351940243711
0.01,1.04,0.97,10000,9795.289607946004,-24.75776728468316,-0.1533762980206071,-0.030722611598804017,3.13428572762322,-0.020683475118247956,-0.024747459498391716,-0.020471039205399576,183.26554798400005,49,0.46938775510204084,0.9053878827986662
0.01,1.05,0.9,10000,10021.619558882001,-11.368582325280675,0.03144227699276166,0.007502441751511825,2.874104971336996,0.002159622224482139,0.0026198913202082797,0.0021619558882001,85.00130211799998,22,0.5,1.0529413989975627
0.01,1.05,0.91,10000,10021.619558882001,-11.368582325280675,0.03144227699276166,0.007502441751511825,2.874104971336996,0.002159622224482139,0.0026198913202082797,0.0021619558882001,85.00130211799998,22,0.5,1.0529413989975627
0.01,1.05,0.92,10000,9990.929906938001,-13.947596573164546,-0.019765081351628033,-0.0045261553037014715,2.882699044463733,-0.0009074208880318674,-0.0010987712150163091,-0.0009070093061998704,88.81098206199998,23,0.4782608695652174,1.0683729773968749
0.01,1.05,0.93,10000,9980.299756868,-8.57627325669426,0.02346041095697104,0.00588924728920514,2.7593078893766947,-0.001971967363420726,-0.0023862626435343357,-0.001970024313199974,92.39050206199998,25,0.48,1.040063981836942
0.01,1.05,0.94,10000,9987.977342896,-11.817445886151235,0.034273225086923084,0.00884982433576511,2.684503144299999,-0.0012029890116108703,-0.0014564058664883837,-0.0012022657104000245,95.91290203399998,26,0.5,0.9762004639781229
0.01,1.05,0.95,10000,9746.195844808,-1.9243691318383664,-0.22970257775158423,-0.040705369115228394,4.749782897798029,-0.02570805388359865,-0.030666246998019023,-0.02538041551919996,114.858470122,31,0.41935483870967744,0.8984218342138567
0.01,1.05,0.96,10000,9851.260014755999,-1.095814688147218,-0.10984145872628846,-0.01864700854601299,4.776232962298825,-0.014985725711352609,-0.017991959788760985,-0.014873998524400122,130.85431017400003,35,0.45714285714285713,0.9520974641927413
0.01,1.05,0.97,10000,10000.370540864002,-2.2980692448970474,0.03464545115509338,0.00566850775390567,3.748110483915068,3.705339991438866e-05,4.4892626770859914e-05,3.7054086400166855e-05,159.99664406600007,42,0.5,0.9989216400995408
0.01,1.06,0.9,10000,10047.172421716003,-3.7064473223516914,0.07981559415770738,0.04004077725032366,1.5736837590327488,0.004706150851365951,0.005717968292322497,0.004717242171600264,67.463712284,18,0.5555555555555556,0.9219563792349613
0.01,1.06,0.91,10000,10047.172421716003,-3.7064473223516914,0.07981559415770738,0.04004077725032366,1.5736837590327488,0.004706150851365951,0.005717968292322497,0.004717242171600264,67.463712284,18,0.5555555555555556,0.9219563792349613
0.01,1.06,0.92,10000,10016.482769772003,-17.385708951511738,0.025415798153515835,0.012064252660905671,1.5784403476797855,0.0016469200595497194,0.001997298944856319,0.001648276977200294,71.27339222799999,19,0.5263157894736842,0.943614486978948
0.01,1.06,0.93,10000,10005.852619702002,-2729.261010318774,0.06897246344957411,0.033301502397038864,1.6853652353721198,0.0005850907712076253,0.0007091112734152364,0.0005852619702001903,74.852912228,21,0.5238095238095238,0.9219635099638118
0.01,1.06,0.94,10000,10013.530205730001,-24.52243265850025,0.07801337281772523,0.0376674124690303,1.6840947920559177,0.0013521060654700424,0.0016394709678351329,0.0013530205730001399,78.3753122,22,0.5454545454545454,0.8620627131604048
