trail_percent,long_spike,short_spike,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
0.01,1.03,0.9,10000,9570.153326146003,-1.1866419949471765,-0.09590114117726177,-0.011619752283502295,5.556009629131326,-0.04393586611666919,-0.008762526603804928,-0.04298466738539974,679.4070568539998,177,0.4858757062146893,0.8975221744705697
0.01,1.03,0.91,10000,9758.049051311991,-1.1155512016729074,-0.05453142489542237,-0.008345368655600056,4.371733277890136,-0.02449260483377732,-0.0048942924854995596,-0.02419509486880088,693.8222846880001,179,0.4972067039106145,0.9236940343036011
0.01,1.03,0.92,10000,9811.837887847993,-0.9739954903453232,-0.04248916044328808,-0.00689309279829259,4.147986086210419,-0.01899548855981018,-0.0037979072505568306,-0.018816211215200745,700.350700152,180,0.5,0.9324367348281525
0.01,1.03,0.93,10000,9971.538247509994,-1.2549833074018346,-0.009203850474093035,-0.0019104156433523047,3.0489912295935886,-0.0028502333075675263,-0.0005707899734036805,-0.002846175249000589,733.8373214899999,186,0.5053763440860215,0.968922554170964
0.01,1.03,0.94,10000,9829.471988579979,-1.4616976656606555,-0.03735604671517184,-0.006122426659605975,4.02404776236292,-0.017199874562478856,-0.0034395151402779205,-0.017052801142002135,752.50654342,192,0.5052083333333334,0.9249407682810484
0.01,1.03,0.95,10000,9360.060490331995,-1.3371633053515177,-0.11867775496173989,-0.012011811031685603,6.847296085963905,-0.06613333988312062,-0.0131603315584353,-0.06399395096680055,776.738674738,206,0.470873786407767,0.9060959123986774
0.01,1.03,0.96,10000,8864.629288017988,-1.095358333551013,-0.19592367915479703,-0.011717893301758911,11.77684490020803,-0.12051597182471026,-0.02385243878617,-0.1135370711982012,819.6143770420002,223,0.4484304932735426,0.8660622337557273
0.01,1.03,0.97,10000,8082.956616059995,-1.337725043647379,-0.29134446835027195,-0.010314807235598095,19.902933501005514,-0.21282736956343606,-0.04173713143142335,-0.19170433839400047,929.4099820000002,264,0.4128787878787879,0.8546664578197837
0.01,1.04,0.9,10000,9462.307964403994,-1.1639170095162763,-0.16613076032803897,-0.01803805974920441,6.551466070209499,-0.055268768819081444,-0.011010265707170465,-0.053769203559600645,458.6673115960001,120,0.4666666666666667,0.8468672753757258
0.01,1.04,0.91,10000,9584.366369509993,-1.1515711573562908,-0.12505775404707187,-0.01658430158455368,5.373119206198303,-0.04245182514896434,-0.008467807656771567,-0.04156336304900069,473.18334748999973,123,0.4796747967479675,0.8690486509401122
0.01,1.04,0.92,10000,9572.867546507998,-1.1671646530167519,-0.1279261865506898,-0.016554401438552673,5.487000981287713,-0.04365229327848029,-0.00870621802363294,-0.04271324534920022,476.9201714919999,124,0.47580645161290325,0.8777559638246861
0.01,1.04,0.93,10000,9791.278732738003,-1.180330321895805,-0.06643515546201023,-0.009366326008627775,4.616706827586171,-0.02109302876688111,-0.0042163985248282005,-0.020872126726199713,504.6266982619999,129,0.4883720930232558,0.943079986941153
0.01,1.04,0.94,10000,9680.245831767987,-1.3810302459434054,-0.09111044625034671,-0.011134190899613048,5.602354309220773,-0.03249779618422879,-0.006488748955253058,-0.03197541682320134,530.4100822319998,136,0.49264705882352944,0.8882266178135991
0.01,1.04,0.95,10000,9193.259573804015,-1.370973348595896,-0.19945000979730124,-0.015499453069001174,9.217458287570137,-0.08411453248320837,-0.01670849054246003,-0.08067404261959855,560.0769532659998,150,0.44666666666666666,0.8609021559477898
0.01,1.04,0.96,10000,8712.808978488003,-1.2730294664358262,-0.2841409373789404,-0.01499969933036711,13.602588766954668,-0.13779085372125086,-0.027224529471266516,-0.1287191021511997,624.452669572,172,0.4186046511627907,0.8322973405053081
0.01,1.04,0.97,10000,7824.995845578025,-1.8229788112207366,-0.3842146228405793,-0.012344241248977074,22.356961741172345,-0.24526188748451597,-0.04794299063674859,-0.21750041544219748,776.428791482,226,0.3805309734513274,0.8259068612553578
0.01,1.05,0.9,10000,9636.660400254004,-0.9629610209679912,-0.16163467527708017,-0.022407945858864204,5.115519341327053,-0.037010475901769875,-0.0073864483252281616,-0.03633395997459957,320.530132746,83,0.46987951807228917,0.8569945996630587
0.01,1.05,0.91,10000,9758.31932237999,-0.9248394742040563,-0.10248533883187935,-0.016731969368173595,4.371023872010312,-0.024464907973086706,-0.0048887714458222915,-0.02416806776200101,338.5316576200001,87,0.4827586206896552,0.9018042839535055
0.01,1.05,0.92,10000,9746.71114336999,-0.9496397446779589,-0.10656035274426306,-0.016812389929713453,4.502635752553224,-0.025655183517734485,-0.0051260110894188835,-0.025328885663000983,341.41883363,88,0.4772727272727273,0.9142453046464222
0.01,1.05,0.93,10000,9969.704923072002,-0.8803595915888167,-0.016460111835834002,-0.0026491563812086408,3.9014997106073905,-0.0030341059405297327,-0.0006076012632207903,-0.0030295076927997796,367.3000149279999,93,0.4946236559139785,1.0012925354763478
0.01,1.05,0.94,10000,9794.677703115987,-1.333581517992955,-0.07995835554705971,-0.01075213295246655,5.133411765497072,-0.02074594636391158,-0.004147162430182576,-0.020532229688401276,389.7637168840002,99,0.494949494949495,0.9043688845109327
