trail_percent,long_spike,short_spike,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
0.01,1.03,0.9,10000,9823.240284538011,-0.628340413685434,-0.039524998493029824,-0.0045147486255105755,6.599321290835553,-0.017834057179536907,-0.003563280880395252,-0.01767597154619889,618.6601204620002,167,0.5029940119760479,0.9304308452009936
0.01,1.03,0.91,10000,9814.09416749601,-0.6206181229565778,-0.041270111222171696,-0.0046060625116551394,6.736135142192792,-0.018765560151661705,-0.003749047762729663,-0.01859058325039896,622.9162605040002,168,0.5059523809523809,0.9168191103604352
0.01,1.03,0.92,10000,9962.938991720004,-0.5004582247347144,-0.011761055595087522,-0.0012215307610249164,6.792243318061471,-0.0037129854349687956,-0.0007429108228844772,-0.0037061008279995803,664.4015602800004,173,0.49710982658959535,0.999801194838056
0.01,1.03,0.93,10000,10072.766742766,-0.4555656771550044,0.010732371875470348,0.0012983872373517362,5.751020582040818,0.007250327018739651,0.0014522706885987434,0.007276674276599988,679.9338002340005,177,0.5028248587570622,1.011150539350184
0.01,1.03,0.94,10000,10182.744017932002,-0.3947862592346045,0.03108691509586735,0.003954045278788462,5.551895147703517,0.018109431701373524,0.0036313405350818823,0.018274401793200196,711.6366000680002,184,0.5163043478260869,0.9882566372143664
0.01,1.03,0.95,10000,10111.85494484201,-0.33993820904325084,0.01568103130959409,0.001609527957439249,7.161516736638598,0.011123399454127204,0.002228927285575675,0.011185494484201081,742.0958201580003,195,0.5230769230769231,0.9406101804610947
0.01,1.03,0.96,10000,9870.257184224001,-0.5597067249215982,-0.02503020527951157,-0.002326198952489239,7.889731541882837,-0.013059182722585163,-0.002610497786219047,-0.012974281577599868,808.4433197760004,210,0.5047619047619047,0.9481247340420853
0.01,1.03,0.97,10000,9749.827123440014,-0.4089798423849404,-0.03950776427702902,-0.0026154198623385225,10.9952103942562,-0.025335539070713925,-0.005058296037635468,-0.025017287655998553,921.19303856,243,0.49794238683127573,0.9489000681159658
0.01,1.04,0.9,10000,9732.822876296008,-0.47403986076453986,-0.09195921533225025,-0.007976484708007815,8.27564773236932,-0.027081117979328877,-0.005405861059888668,-0.026717712370399205,398.77739970399995,110,0.4090909090909091,1.2834471212757423
0.01,1.04,0.91,10000,9621.549017246007,-0.5706344507644916,-0.128977208381431,-0.011001790332758922,8.453902055437828,-0.038579820775097466,-0.007692354039216868,-0.03784509827539932,394.68125975399994,109,0.41284403669724773,1.1958818769342487
0.01,1.04,0.92,10000,9849.470522276004,-0.40364250206850505,-0.051338537650828894,-0.004607581217005261,8.033517391667836,-0.015167393338505145,-0.0030312844543159373,-0.015052947772399603,427.10987972399994,116,0.4224137931034483,1.2850596898389117
0.01,1.04,0.93,10000,9926.627447430006,-0.40132112825212213,-0.027526056081491668,-0.002945296716897123,6.62704500869213,-0.007364305311007289,-0.0014729450780199915,-0.007337255256999378,442.9029795699998,120,0.425,1.3146406232317918
0.01,1.04,0.94,10000,9984.54822657601,-0.37803853747924354,-0.009778877896784936,-0.0010451155243346418,6.66833877591115,-0.0015463723600769841,-0.00030947222649511236,-0.0015451773423990744,475.672239424,128,0.453125,1.2000036189546328
0.01,1.04,0.95,10000,9709.520436348006,-0.490276135503322,-0.07441513988149875,-0.006350672577465981,9.147519261725924,-0.029478200546103728,-0.005882950184997838,-0.029047956365199388,505.840159652,137,0.46715328467153283,1.0295058902010104
0.01,1.04,0.96,10000,9591.708502888001,-0.62877201504328,-0.09522538546682667,-0.008027055475869323,9.033659223324998,-0.041686065337778556,-0.008309121980478496,-0.0408291497111999,561.6218591120002,152,0.45394736842105265,1.048783614879576
0.01,1.04,0.97,10000,9183.575489792,-0.7546480446230253,-0.14583155091099023,-0.009134981872243918,12.522002441062549,-0.08516847728653545,-0.016902743230253117,-0.08164245102080003,709.7748182080003,193,0.45077720207253885,0.9664170447559701
0.01,1.05,0.9,10000,9946.098543430007,-0.3507536214434071,-0.026090192229725088,-0.002927196411247136,6.867686181959782,-0.005404724905215528,-0.0010812186167757525,-0.0053901456569992665,317.37177956999994,88,0.42045454545454547,1.3401864290414807
0.01,1.05,0.91,10000,9921.003982472006,-0.35452344871323704,-0.034941941811254096,-0.0037606944125047606,7.115210840387953,-0.007930968907954779,-0.0015861943273508866,-0.00789960175279939,324.916359528,90,0.4222222222222222,1.3135969883524257
0.01,1.05,0.92,10000,9952.407202564007,-0.3777768468106713,-0.022367726463654425,-0.0025791158408139756,6.681831285119223,-0.004770641177934362,-0.0009544303230463525,-0.004759279743599291,348.993279436,95,0.42105263157894735,1.3441216685141226
0.01,1.05,0.93,10000,10102.848706632014,-0.29970512603177557,0.028401813788796193,0.003643711757651811,5.914723462456778,0.01023234124608456,0.0020501924969531793,0.0102848706632014,365.541779368,99,0.43434343434343436,1.3645570554982176
0.01,1.05,0.94,10000,10191.62244282801,-0.2427399397785947,0.05276977938363987,0.007364218206472613,5.488005420237897,0.01898096068609896,0.0038064335178349235,0.01916224428280093,396.80805917200007,107,0.4672897196261682,1.2376374250249236
0.01,1.05,0.95,10000,10124.581255602008,-0.24689763033897547,0.027440296012414624,0.00333411206767998,6.660429779592355,0.012381161671906697,0.0024812724328506573,0.012458125560200824,438.24941939799993,118,0.4915254237288136,1.0865069180522604
0.01,1.05,0.96,10000,10024.378723024003,-0.375733760410503,0.0011935420925885455,0.00013939324390028175,6.67343986034515,0.002434905512510562,0.0004874866854570573,0.0024378723024003194,499.45177897600007,134,0.47761194029850745,1.1036984959547498
0.01,1.05,0.97,10000,9743.098611955988,-0.4285314960174364,-0.05107862467530297,-0.003918876267049119,10.406948208235859,-0.0260258932887098,-0.0051957680921789085,-0.025690138804401248,650.611858044,175,0.48,1.0012613284349474
0.01,1.06,0.9,10000,10395.194126035998,-0.1898879347495454,0.18647772056246867,0.055704675686652515,2.7363381042791617,0.03875850308489394,0.007788027792592817,0.03951941260359981,231.62603996400009,62,0.46774193548387094,1.5014991454491775
0.01,1.06,0.91,10000,10370.328071085996,-0.20159100841720717,0.1709398779975919,0.045893799218904685,3.011318413428315,0.03636356530299169,0.007305042227213128,0.03703280710859963,238.99211991400006,64,0.46875,1.4656817212161732
0.01,1.06,0.92,10000,10434.973926140001,-0.16488540712130983,0.18530502955300418,0.04778368741195001,3.0605557759198327,0.042577948839136175,0.00855877217940148,0.04349739261400009,269.00639986000004,71,0.4647887323943662,1.506917063885139
0.01,1.06,0.93,10000,10565.884241310001,-0.03866277370710073,0.23008648908070362,0.06408776973917507,2.7755119548547564,0.05504524991577519,0.011078713686525452,0.056588424131000105,287.31607969000004,76,0.4868421052631579,1.4652159949571038
0.01,1.06,0.94,10000,10625.094937566004,0.018350120470422098,0.22315022007744106,0.0578109919205319,2.9643866770720453,0.06063355707684509,0.01221028768476764,0.06250949375660039,329.615499434,87,0.5057471264367817,1.3596706491898622
0.01,1.06,0.95,10000,10531.868965426003,-0.0734235914024816,0.15651687491170008,0.031162072989883247,4.101017389708876,0.05182070699653637,0.010426352977667456,0.05318689654260034,376.34157957400004,99,0.5151515151515151,1.2123620737770522
0.01,1.06,0.96,10000,10412.832932907988,-0.2849407214351373,0.10905317477095638,0.018332359379760514,4.564757603546354,0.04045388833665313,0.008130075037409574,0.04128329329079879,444.0574190919999,117,0.49572649572649574,1.2173307496001342
