Short Period,Long Period,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
5,50,5,0.01,0.03,10000,9683.74212097599,-2.0093881759965306,-0.45296142921770766,-0.06542291163122897,3.922925341933867,-0.032136683663963876,-0.006416878409362116,-0.031625787902400955,128.698219024,33,0.3333333333333333,1.256023003746849
5,50,5,0.01,0.05,10000,9765.854137111994,-1.5711592856274839,-0.34576249534111514,-0.04970494154266717,3.7143580223595025,-0.023693063252314826,-0.0047349010613503585,-0.023414586288800637,128.996270888,33,0.30303030303030304,1.6895205815179444
5,50,5,0.01,0.07,10000,9845.576688072,-1.221950902785995,-0.2304471798760014,-0.03310897897659911,3.7143580223595025,-0.015562805871732475,-0.0031126552150696376,-0.015442331192799974,129.63924392799998,33,0.30303030303030304,1.8985346177753637
5,50,5,0.02,0.03,10000,9720.761875839991,-2.3361765252969326,-0.4553348640198178,-0.0565210703883958,4.006784779578196,-0.028321095305364023,-0.005657161831978514,-0.027923812416000875,124.41885616,32,0.375,1.1304588394429447
5,50,5,0.02,0.05,10000,9768.205235970001,-1.91587613413191,-0.34173678551869663,-0.047060714279722075,4.006784779578196,-0.0234523453529313,-0.00468690810199339,-0.0231794764029999,124.84306103,32,0.3125,1.619972615597943
5,50,5,0.02,0.07,10000,9848.866270926004,-1.4505645101840348,-0.22566177603181095,-0.03100887892965339,4.006784779578196,-0.015228743832867427,-0.0030459426497365647,-0.01511337290739957,125.31304807400001,32,0.3125,1.8222132877583377
5,50,5,0.03,0.03,10000,9790.276962955992,-1.7386481179730986,-0.3706243376920692,-0.04388484320016928,4.005796927364361,-0.021195346457921878,-0.004236807967719716,-0.020972303704400837,120.92032704399999,31,0.41935483870967744,1.0311801210979123
5,50,5,0.03,0.05,10000,9877.232174100001,-1.4682955664994692,-0.19178014099739216,-0.026091326951644563,4.005796927364361,-0.012352764803882182,-0.0024714217042136866,-0.012276782589999856,121.81267989999999,31,0.3548387096774194,1.5511251543701465
5,50,5,0.03,0.07,10000,9913.153566058001,-1.3192001610043953,-0.13825768167099683,-0.01880129653698433,4.005796927364361,-0.008722574682462214,-0.001745762790460463,-0.008684643394199883,122.045308942,31,0.3548387096774194,1.629264903326758
5,50,10,0.01,0.03,10000,9683.74212097599,-2.0093881759965306,-0.45296142921770766,-0.06542291163122897,3.922925341933867,-0.032136683663963876,-0.006416878409362116,-0.031625787902400955,128.698219024,33,0.3333333333333333,1.256023003746849
5,50,10,0.01,0.05,10000,9786.301243023998,-1.4474290995757153,-0.31594582956997413,-0.045440634695904154,3.7143580223595025,-0.021601517541021253,-0.004317823315700024,-0.021369875697600217,129.150208976,33,0.30303030303030304,1.7433746708254936
5,50,10,0.01,0.07,10000,9863.891304998002,-1.1285574670758212,-0.20452197601240377,-0.029324511213577376,3.7143580223595025,-0.013704346556260193,-0.002741462124764457,-0.013610869500199806,129.999670002,33,0.30303030303030304,1.9473374472374132
5,50,10,0.02,0.03,10000,9702.951325839993,-2.1632751232158505,-0.5025153647331964,-0.057598074407305265,4.183491833594479,-0.03015499336664052,-0.006022379241533761,-0.029704867416000705,124.45440616,32,0.375,1.1077277600872577
5,50,10,0.02,0.05,10000,9809.987050158003,-1.6365718800247324,-0.32386307559224636,-0.037210411178099374,4.183491833594479,-0.019184139483088457,-0.0038355531847231784,-0.01900129498419974,124.920426842,32,0.34375,1.5284198247301792
5,50,10,0.02,0.07,10000,9886.785823130002,-1.3367950759566039,-0.19855272694280282,-0.02263324877253881,4.183491833594479,-0.011385992786628708,-0.00227821981374962,-0.011321417686999848,125.44667387000001,32,0.34375,1.682985867763001
5,50,10,0.03,0.03,10000,9847.701885525994,-1.2115608088340089,-0.28646765868508367,-0.030730865217043202,4.175737991899072,-0.015346976145432593,-0.0030695542861018566,-0.015229811447400607,120.88068947400001,31,0.45161290322580644,0.9856769671023505
