Short Period,Long Period,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
5,50,5,0.01,0.03,10000,9857.993542053993,-1.3357173458804303,-0.21019116698003165,-0.04626996272592122,2.406173115120987,-0.01430243980805199,-0.0028586662034058518,-0.014200645794600678,147.893279898,40,0.5,0.7463733939911175
5,50,5,0.01,0.05,10000,10105.542109075997,-0.6947688920408057,0.10774804317955367,0.02366177274711981,2.3485093973192175,0.010498904030275941,0.0021036582130878638,0.010554210907599736,148.154779876,40,0.5,1.0604119422078486
5,50,5,0.01,0.07,10000,10110.286200002001,-0.7014092263853553,0.1063748359039227,0.024865073175450655,2.347431291856359,0.010968248243192527,0.0021978036608350806,0.011028620000200134,148.31057995,40,0.45,1.3065590121801025
5,50,5,0.02,0.03,10000,9830.348959019993,-1.2345010248572654,-0.2031472202157337,-0.04728897661211536,2.7457355067197837,-0.017110660073401486,-0.0034189920400699097,-0.016965104098000665,147.837879932,40,0.525,0.6495713308905209
5,50,5,0.02,0.05,10000,10077.897526041996,-0.6695520884643164,0.059001120045874426,0.013664846686374656,2.679977345950261,0.0077595691279259815,0.0015543532381952028,0.007789752604199566,148.09937991,40,0.525,0.9226608059475965
5,50,5,0.02,0.07,10000,10082.641616968,-0.6720737387515034,0.06051649183428647,0.014713653854648734,2.6787478831690215,0.008230200491493825,0.0016487051392734058,0.008264161696799966,148.25517998400002,40,0.475,1.1377069409127454
5,50,5,0.03,0.03,10000,9897.814689187993,-1.0326994970541776,-0.13565581005968105,-0.031571023728286005,2.727496318039409,-0.01027109868568161,-0.002053739550226507,-0.010218531081200672,144.282059764,39,0.5384615384615384,0.6800962557997665
5,50,5,0.03,0.05,10000,10213.957642129999,-0.4176838801983809,0.21280869981809547,0.04902766872856111,2.6451586023885185,0.02117008818247052,0.004246371028415915,0.021395764212999893,144.739219822,39,0.5384615384615384,1.018287833852641
5,50,5,0.03,0.07,10000,10218.701733056003,-0.44923469388046633,0.2048935434375335,0.0501175509191996,2.6439608717385927,0.021634451721659707,0.004339716526515735,0.02187017330560029,144.89501989599998,39,0.48717948717948717,1.2584987643196117
5,50,10,0.01,0.03,10000,9800.544630225997,-1.531079593756256,-0.29716842963207774,-0.062366583155487716,2.419962355348939,-0.020147134348868653,-0.004024507244751687,-0.019945536977400296,147.972139726,40,0.475,0.7641357110024372
5,50,10,0.01,0.05,10000,9893.020988234004,-0.8655585619469661,-0.1234587948887897,-0.024944259974844944,3.4096358717400106,-0.010755535131506592,-0.002150499964610625,-0.01069790117659959,146.75585971799998,40,0.45,1.0080386956769416
5,50,10,0.01,0.07,10000,9836.895967044007,-1.0355095626681583,-0.16888256537545226,-0.035921840406921354,3.4096358717400106,-0.016444882198517446,-0.003286177472253205,-0.016310403295599282,146.350679908,40,0.4,1.1776746100361728
5,50,10,0.02,0.03,10000,9861.255133107998,-1.0666330885308,-0.1881658415616323,-0.04092858082122669,2.737349915619104,-0.013971637033820946,-0.0027926401937722204,-0.013874486689200239,144.271639844,39,0.5128205128205128,0.729467119555438
5,50,10,0.02,0.05,10000,9954.210531116007,-0.6324482770977814,-0.06336460423636726,-0.01297686588621434,3.613635871740007,-0.004589462377893301,-0.0009181997366952102,-0.004578946888399332,143.05631983599997,39,0.48717948717948717,0.9328193168635593
5,50,10,0.02,0.07,10000,9833.441510928007,-0.7665059924526365,-0.1757478084962339,-0.03564133129481543,3.613635871740007,-0.01679611726557026,-0.0033562467909721934,-0.01665584890719929,142.655140024,39,0.4358974358974359,1.0281390801270112
5,50,10,0.03,0.03,10000,9968.380360457995,-0.8347296095739243,-0.06455593416054847,-0.014228370323562558,2.7086765521519114,-0.00316697352506651,-0.000633696927740791,-0.0031619639542004732,140.35641949400002,38,0.5263157894736842,0.7963697925760449
5,50,10,0.03,0.05,10000,10117.469526274004,-0.4242877664649425,0.08389786475734626,0.017868099492429224,3.4969359201600128,0.011678492787488514,0.0023402879677198135,0.011746952627400423,139.29731967799998,38,0.5,1.0490212744354224
5,50,10,0.03,0.07,10000,10000.008863088011,-0.5917813104301525,-0.02455992335327045,-0.00517173444552707,3.4969359201600128,8.863084082466187e-07,1.7740249300202208e-07,8.863088010912179e-07,139.787779864,38,0.4473684210526316,1.1562095261980767
5,50,15,0.01,0.03,10000,9694.192654089993,-2.017821740961286,-0.4327366795422064,-0.06855768878816858,3.2431454086200757,-0.03105808222903571,-0.006197267445654339,-0.03058073459100069,147.184179862,40,0.425,0.8127643622391844
5,50,15,0.01,0.05,10000,9742.726981040001,-1.2020129404740738,-0.2738580520236477,-0.05405902435875891,3.4096358717400106,-0.026064037006486365,-0.005203363197442602,-0.02572730189599988,145.25995991199997,40,0.375,1.169668462639461
5,50,15,0.01,0.07,10000,9695.950723854,-1.2921851836812983,-0.30754392924387536,-0.059812019812324736,3.6128714102600132,-0.030876745790768236,-0.0061611956335502205,-0.03040492761459991,145.866020098,40,0.325,1.416894256638214
5,50,15,0.02,0.03,10000,9754.903156971994,-1.3124301820275281,-0.3102567864896307,-0.06760107273159789,2.7664231878693433,-0.024815046495466852,-0.004954636418841015,-0.024509684302800632,143.48367998,39,0.46153846153846156,0.7880257892953078
5,50,15,0.02,0.05,10000,9802.65858292,-0.8441515144788325,-0.20510927443542296,-0.04123760221725828,3.613635871740007,-0.019931460136933792,-0.003981510947492378,-0.01973414170800006,141.708360032,39,0.41025641025641024,1.0952133735998937
5,50,15,0.02,0.07,10000,9692.386047738002,-0.9114668635644714,-0.31155795521699725,-0.052282646925860744,4.303586750419964,-0.03124445924635335,-0.006234340575630252,-0.030761395226199785,142.17070021400002,39,0.358974358974359,1.2504264662357876
