Ticker,Lookback,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
NVDA,5.0,9.0,0.03,0.07,10000.0,11562.459910360016,0.6360300951914446,0.3994321948201376,0.0502232843070222,4.886817135182983,0.1451785426263804,0.0295088771473908,0.1562459910360016,626.7297726940002,146.0,0.4931506849315068,1.4818853596031774
NVDA,30.0,5.0,0.03,0.05,10000.0,11218.75925420999,0.7102861720684623,0.589512663557778,0.1614661170969304,2.2159169701672923,0.115002217581965,0.0233044115465517,0.121875925420999,337.9045047900001,80.0,0.5375,1.676933897064278
TSLA,15.0,5.0,0.03,0.03,10000.0,12069.783887897993,0.4139655678807316,0.336112301227709,0.0868881955530888,4.497862941309904,0.1881200370584962,0.0384028618718094,0.2069783887897993,505.6530151019998,119.0,0.5882352941176471,1.2406252907226591
TSLA,35.0,7.0,0.03,0.05,10000.0,11773.116323652006,0.5641723157000171,0.5909955669107031,0.1273422299122845,4.13820878064898,0.1632335615978384,0.0332390894265073,0.1773116323652006,327.91127434799995,77.0,0.5974025974025974,1.3157454717236126
AAPL,30.0,19.0,0.03,0.07,10000.0,10973.945487964009,0.3112352558349162,0.7575524067287669,0.1480121622926365,2.732960808201568,0.0929387782496831,0.0187916894862926,0.0973945487964007,225.6767360360001,56.0,0.5535714285714286,1.459401262782944
AAPL,15.0,11.0,0.03,0.05,10000.0,10922.341549395996,0.336961488316389,0.4541197594215051,0.0884937139679163,2.856894382612406,0.0882252819367673,0.0178302024098223,0.0922341549395996,352.14364060400004,87.0,0.5977011494252874,1.122708611871489
ACMR,15.0,7.0,0.02,0.03,10000.0,11227.292073881992,0.2420091891574439,0.1990195454720383,0.0385427215513756,6.490268295051642,0.1157625134539035,0.0234414228499034,0.1227292073881992,495.21229911799986,113.0,0.5309734513274337,1.2126122216041395
ACMR,20.0,5.0,0.01,0.03,10000.0,11190.33608440799,0.3682779204487034,0.2466597949176195,0.0602308855232313,4.734526504995766,0.1124654632315801,0.0227662420729733,0.119033608440799,414.7078455920001,96.0,0.5,1.4274750794711977
AMD,55.0,7.0,0.02,0.07,10000.0,10994.679338457996,0.575417059331728,0.6130569114429918,0.2096761963511852,2.3756166103643443,0.0948263662816164,0.0191616086618384,0.0994679338457995,192.57498052999995,48.0,0.5208333333333334,1.820180524334728
AMD,35.0,13.0,0.01,0.07,10000.0,10991.077237125986,0.6371271891018707,0.457685099424859,0.1513933968720573,2.602573690856907,0.0944986903745484,0.0190947668621463,0.0991077237125986,238.227279862,60.0,0.5,1.720786805236215
CRM,5.0,19.0,0.01,0.07,10000.0,10534.973002202005,-0.119401273042677,0.236907675525166,0.0268975750090495,3.587153585532032,0.0521153915822215,0.010485953450185,0.0534973002202004,499.88708079799994,132.0,0.3181818181818182,2.6593578891508978
DBX,60.0,7.0,0.02,0.03,10000.0,10201.814281803989,-0.4804982665960354,0.2102643253713851,0.0381853355399121,3.161125232971033,0.0199804822441475,0.0040072782266715,0.0201814281803986,163.43482219599997,41.0,0.6097560975609756,0.8537803853172371
MSFT,60.0,17.0,0.03,0.07,10000.0,10411.835535089996,-0.3579349667565396,0.6536822383121851,0.1448984810824514,1.93606673582526,0.0403580983056821,0.0081172195506126,0.0411835535089994,128.03449991000002,36.0,0.5555555555555556,1.6337650193772737
MSFT,50.0,13.0,0.03,0.07,10000.0,10325.923495703992,-0.3232343512939297,0.4341113820468837,0.0656940039503838,2.889538796849196,0.0320724845364878,0.0064453774569258,0.0325923495703991,158.17760035600003,45.0,0.6222222222222222,0.956084534176282
PANW,100.0,5.0,0.01,0.03,10000.0,10141.793274344,-0.5615242327000992,0.1174020596149203,0.0272588750713293,2.96291366677415,0.0140797410458212,0.0028221596798264,0.0141793274344001,158.58337965599998,43.0,0.4651162790697674,1.4526655169529836
PANW,25.0,9.0,0.03,0.07,10000.0,9963.855636067989,-0.4205959784556424,-0.018240793000649,-0.0032932941845909,5.3867231968650415,-0.00362098425106,-0.0007245094823052,-0.0036144363932011,255.73823993200008,68.0,0.4705882352941176,1.1003949230284913
SMCI,95.0,7.0,0.02,0.03,10000.0,10306.567593474,-0.2942845006474199,0.1403886173863437,0.0499160691628858,3.64224270639415,0.030196229476001,0.0060623448352119,0.0306567593474001,150.49211952599995,40.0,0.525,1.1565777613636172
SMCI,55.0,7.0,0.03,0.03,10000.0,10257.396627582002,-0.2679253091746623,0.1025901903909679,0.0257586450962043,4.502551428604806,0.0254139745493827,0.0050997919741081,0.0257396627582002,199.503279418,52.0,0.4807692307692308,1.2807878073929084
