Ticker,up_days,down_days,trail_percent,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
NVDA,3.0,6.0,0.1,10000.0,14202.238016426012,1.2479912746523103,1.3091769762301777,0.2477184127914026,5.894913153153713,0.3508144659850882,0.0728025607141428,0.4202238016426012,287.57248459400006,61.0,0.7377049180327869,0.9854385010207036
NVDA,4.0,7.0,0.06,10000.0,12463.403338024003,1.3582813488321737,2.4559675427467544,0.4780817177406606,2.3063076541536693,0.2202115241624434,0.0450997384916613,0.2463403338024003,223.524941976,50.0,0.78,1.240914433897681
TSLA,3.0,21.0,0.07,10000.0,13002.025174714006,0.6151354571681464,0.7732182121736793,0.1158521958685218,7.322650969278394,0.2625200350049391,0.0539947606538646,0.3002025174714006,345.780442306,78.0,0.6538461538461539,1.0964342585353768
TSLA,5.0,7.0,0.05,10000.0,11342.112543239997,1.4196995249539053,0.8677551132466441,0.3956859600494535,2.26991067449086,0.1259374792464975,0.0255484468232542,0.1342112543239996,139.069030704,36.0,0.6666666666666666,1.414971515435539
AAPL,3.0,8.0,0.07,10000.0,11603.852575187995,0.6749088905735156,1.50119042985933,0.3282405959441106,2.627292851437198,0.1487520685298049,0.030246106099379,0.1603852575187995,179.704629782,44.0,0.75,0.8159150121791647
AAPL,4.0,8.0,0.05,10000.0,11059.697109607992,1.6180084603788083,1.8228487470385448,0.3429285255020387,1.9721550510223491,0.1007225166137436,0.0203814516176131,0.1059697109607992,150.86446044799996,38.0,0.7105263157894737,1.0326512967632968
ACMR,3.0,5.0,0.1,10000.0,12497.704944188,0.3565844582201959,0.5015734096773369,0.0589850985542,11.628475295584582,0.2229599299918866,0.0456381873116778,0.2497704944188001,381.36545381200006,79.0,0.569620253164557,1.1487469639759436
ACMR,3.0,16.0,0.06,10000.0,11565.687931621993,0.5562936450613106,0.3858129771480668,0.1172002120683045,3.9956237141236968,0.1454576848477973,0.029542618418301,0.1565687931621991,334.9321733779998,76.0,0.5394736842105263,1.2932231370781404
ARM,3.0,7.0,0.1,10000.0,10894.835634045998,5.120840916218792,2.90465336673879,0.4595040346577647,3.664869923667468,0.0857037889230646,0.1094156514600055,0.0894835634045997,51.818249894,14.0,0.7142857142857143,1.1114142912393987
CRM,3.0,3.0,0.09,10000.0,10814.689542576005,0.1365587101045755,1.2308671190922982,0.0625277347103265,7.172953768675554,0.0783202598108741,0.0158000144637461,0.0814689542576003,160.5399394000001,44.0,0.5454545454545454,1.1581001357281415
DBX,7.0,3.0,0.02,10000.0,10453.836866025991,-0.3564892799349389,0.2702056672248117,0.0606085455753763,2.248564922462192,0.0443839822415027,0.0089234256067037,0.0453836866025991,330.05620097399986,81.0,0.5925925925925926,0.9727083584530992
DBX,4.0,8.0,0.08,10000.0,10227.600225712004,-0.234644351499447,0.1312165817499419,0.0365730710420998,4.68477746805786,0.0225048774089814,0.0045147112603864,0.0227600225712005,109.52048428799998,28.0,0.5357142857142857,0.9312639758231428
MSFT,3.0,5.0,0.08,10000.0,11362.27228204402,1.068643035100163,2.472695692129711,0.3847731989360878,2.713526657291486,0.1277133251244795,0.0259133340001387,0.1362272282044019,115.43495996000004,31.0,0.7741935483870968,0.8804781960676751
MSFT,5.0,6.0,0.1,10000.0,11011.379069619998,1.0862339880987557,,1.4100106245318944,1.309675117224702,0.0963441059929289,0.0194868936187514,0.1011379069619997,49.29198041600001,14.0,0.8571428571428571,0.7755860006591025
PANW,6.0,12.0,0.1,10000.0,11424.797666053995,0.7899881115414377,4.098379033480696,1.1280126156299417,1.6914733378850486,0.1332011338748295,0.0270199811563547,0.1424797666053997,70.090972922,18.0,0.8333333333333334,0.8563219987644672
PANW,6.0,7.0,0.1,10000.0,11398.098513247996,0.90088938653431,3.941512067224727,0.7847691559293298,2.134398020613083,0.1308614514107142,0.0265391319141655,0.1398098513247994,78.350092728,20.0,0.8,0.8874997689735249
SMCI,3.0,8.0,0.1,10000.0,12491.879712206002,1.0205949857304133,0.8877650827457159,0.1602189943914511,5.5949273133544395,0.2224937171942265,0.0455406164425002,0.2491879712206002,256.86000079400003,61.0,0.639344262295082,1.028551583427049
SMCI,3.0,8.0,0.08,10000.0,12056.004869937997,1.2797077587244168,0.7229293803650133,0.1956847351804565,3.4678018710630085,0.1869777722731655,0.0381344009435436,0.2056004869937994,287.094441062,68.0,0.6470588235294118,0.9697879000268478
