Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,21.350000,21.719999,21.209999,21.650000,17.655325,1556500
2019-07-31,21.590000,21.910000,21.500000,21.670000,17.671638,1897400
2019-08-01,21.610001,21.799999,20.760000,20.799999,16.962162,1542900
2019-08-02,20.750000,20.770000,20.320000,20.660000,16.847996,1107700
2019-08-05,20.320000,20.320000,19.850000,20.090000,16.383167,1483700
2019-08-06,20.240000,20.299999,19.670000,20.070000,16.366856,1713600
2019-08-07,19.639999,20.020000,19.330000,19.959999,16.277151,1527300
2019-08-08,20.030001,20.510000,19.990000,20.430000,16.660429,1737300
2019-08-09,20.270000,20.420000,20.059999,20.250000,16.513645,794100
2019-08-12,20.059999,20.129999,19.680000,19.680000,16.048815,365400
2019-08-13,19.600000,20.250000,19.600000,19.860001,16.195604,897400
2019-08-14,19.389999,19.420000,18.900000,19.030001,15.518743,1131600
2019-08-15,19.120001,19.180000,18.610001,18.639999,15.200705,1273500
2019-08-16,18.860001,19.309999,18.799999,19.290001,15.730771,892500
2019-08-19,19.650000,19.680000,19.400000,19.510000,15.910184,1181100
2019-08-20,19.389999,19.389999,19.090000,19.129999,15.600298,607600
2019-08-21,19.320000,19.420000,19.139999,19.370001,15.796011,789700
2019-08-22,19.420000,19.530001,19.240000,19.440001,15.853094,485700
2019-08-23,19.320000,19.540001,18.809999,18.870001,15.388272,994300
2019-08-26,19.020000,19.110001,18.790001,19.000000,15.494286,571000
2019-08-27,19.059999,19.100000,18.520000,18.719999,15.265946,936000
2019-08-28,18.620001,19.090000,18.600000,18.910000,15.420890,509600
2019-08-29,19.090000,19.340000,19.070000,19.270000,15.714464,591900
2019-08-30,19.200001,19.340000,19.120001,19.240000,15.829651,793900
2019-09-03,19.020000,19.049999,18.730000,18.799999,15.467639,632600
2019-09-04,19.000000,19.000000,18.680000,18.820000,15.484097,763400
2019-09-05,19.230000,19.480000,19.100000,19.290001,15.870789,886500
2019-09-06,19.290001,19.400000,19.150000,19.240000,15.829651,792100
2019-09-09,19.150000,19.750000,19.049999,19.690001,16.199884,1352500
2019-09-10,19.830000,20.049999,19.670000,20.040001,16.487848,985000
2019-09-11,20.070000,20.379999,19.670000,20.350000,16.742899,1031600
