Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,9.030000,9.210000,9.020000,9.190000,9.000123,1645600
2019-07-31,9.150000,9.310000,9.080000,9.190000,9.000123,2239100
2019-08-01,9.150000,9.190000,8.920000,8.990000,8.804255,2674800
2019-08-02,8.920000,9.020000,8.790000,8.880000,8.696528,2714800
2019-08-05,8.790000,8.800000,8.520000,8.670000,8.490866,2963000
2019-08-06,8.690000,8.830000,8.550000,8.780000,8.598594,3475300
2019-08-07,8.650000,8.730000,8.540000,8.720000,8.539834,2972300
2019-08-08,8.730000,8.840000,8.650000,8.800000,8.618180,1504400
2019-08-09,8.780000,8.860000,8.540000,8.610000,8.432106,2544300
2019-08-12,8.610000,8.620000,8.390000,8.590000,8.412519,1925500
2019-08-13,8.550000,8.560000,8.350000,8.470000,8.295000,1766900
2019-08-14,8.350000,8.430000,8.100000,8.160000,7.991405,2211500
2019-08-15,8.180000,8.240000,8.060000,8.130000,7.962024,2444600
2019-08-16,8.200000,8.290000,8.030000,8.240000,8.069751,2297300
2019-08-19,8.310000,8.630000,8.310000,8.620000,8.441899,3029000
2019-08-20,8.710000,8.770000,8.560000,8.740000,8.559421,3732600
2019-08-21,8.800000,8.980000,8.760000,8.980000,8.794461,2658800
2019-08-22,8.970000,9.050000,8.750000,8.790000,8.608388,3483600
2019-08-23,8.780000,8.780000,8.410000,8.420000,8.246033,2641800
2019-08-26,8.450000,8.510000,8.390000,8.460000,8.285206,1322800
2019-08-27,8.480000,8.540000,8.300000,8.410000,8.236238,1451800
2019-08-28,8.480000,8.640000,8.320000,8.560000,8.383142,1772600
2019-08-29,8.650000,8.710000,8.570000,8.590000,8.412519,1260600
2019-08-30,8.690000,8.810000,8.630000,8.770000,8.588801,1487800
2019-09-03,8.650000,8.810000,8.630000,8.720000,8.539834,1264600
2019-09-04,8.840000,8.970000,8.800000,8.850000,8.667148,1159800
2019-09-05,8.960000,9.170000,8.860000,9.000000,8.814049,2247900
2019-09-06,8.940000,9.170000,8.810000,9.030000,8.843429,3553800
2019-09-09,9.060000,9.120000,8.950000,9.100000,8.911983,2223000
2019-09-10,9.120000,9.230000,9.070000,9.120000,8.931569,2243900
2019-09-11,9.160000,9.480000,9.130000,9.420000,9.225369,3874400
2019-09-12,9.350000,9.600000,9.310000,9.570000,9.372272,3148800
2019-09-13,9.610000,9.720000,9.470000,9.690000,9.489792,2003600
2019-09-16,9.790000,9.810000,9.510000,9.590000,9.391859,2310000
2019-09-17,9.480000,9.700000,9.470000,9.620000,9.421239,1387600
2019-09-18,9.550000,9.620000,9.320000,9.390000,9.195992,1287400
2019-09-19,9.430000,9.450000,9.260000,9.270000,9.078471,2214700
2019-09-20,9.280000,9.400000,9.210000,9.350000,9.156817,1665500
2019-09-23,9.310000,9.540000,9.310000,9.530000,9.333098,1335400
2019-09-24,9.510000,9.560000,9.370000,9.550000,9.352686,1807300
2019-09-25,9.460000,9.780000,9.450000,9.750000,9.548553,2456900
2019-09-26,9.720000,9.720000,9.560000,9.650000,9.450619,2512300
2019-09-27,9.590000,9.650000,9.520000,9.590000,9.391859,1153800
2019-09-30,9.540000,9.600000,9.430000,9.500000,9.303718,1595800
2019-10-01,9.430000,9.540000,9.110000,9.240000,9.049090,2580200
2019-10-02,9.170000,9.320000,9.090000,9.290000,9.098057,1985500
2019-10-03,9.250000,9.410000,9.230000,9.350000,9.156817,1578900
2019-10-04,9.330000,9.460000,9.300000,9.340000,9.147024,1434200
2019-10-07,9.350000,9.460000,9.240000,9.380000,9.186197,1503000
2019-10-08,9.330000,9.350000,9.130000,9.290000,9.098057,1421400
2019-10-09,9.330000,9.340000,9.200000,9.240000,9.049090,1606500
2019-10-10,9.310000,9.650000,9.280000,9.560000,9.362478,3459900
2019-10-11,9.650000,9.720000,9.360000,9.380000,9.186197,1796500
2019-10-14,9.280000,9.360000,9.180000,9.290000,9.098057,1588300
2019-10-15,9.360000,9.480000,9.260000,9.270000,9.078471,1533300
2019-10-16,9.290000,9.340000,9.200000,9.290000,9.098057,1444200
2019-10-17,9.410000,9.460000,9.060000,9.070000,8.882602,1705100
2019-10-18,9.080000,9.280000,9.020000,9.190000,9.000123,1422400
2019-10-21,9.280000,9.350000,9.170000,9.200000,9.009916,1591100
2019-10-22,9.230000,9.320000,9.100000,9.110000,8.921776,2765700
2019-10-23,9.170000,9.360000,9.150000,9.320000,9.127438,2692900
2019-10-24,9.250000,9.330000,9.050000,9.100000,8.911983,2360600
2019-10-25,9.090000,9.250000,9.090000,9.130000,8.941362,2102200
2019-10-28,9.200000,9.260000,9.100000,9.120000,8.931569,1887600
2019-10-29,9.100000,9.180000,8.940000,9.100000,8.911983,2901400
2019-10-30,9.100000,9.340000,8.980000,9.120000,8.931569,3842000
2019-10-31,9.110000,9.110000,8.810000,8.930000,8.745497,3676000
2019-11-01,8.720000,9.280000,8.710000,9.210000,9.019711,3787100
2019-11-04,9.320000,10.010000,9.310000,10.000000,9.793387,3976400
2019-11-05,10.040000,10.090000,9.720000,9.810000,9.607313,2602800
2019-11-06,9.780000,9.780000,9.550000,9.550000,9.352686,1414900
2019-11-07,9.630000,9.740000,9.520000,9.630000,9.431032,1235000
2019-11-08,9.580000,9.820000,9.520000,9.590000,9.391859,1790300
2019-11-11,9.500000,9.640000,9.460000,9.590000,9.391859,728700
2019-11-12,9.620000,9.650000,9.450000,9.500000,9.303718,770900
2019-11-13,9.470000,9.470000,9.300000,9.360000,9.166611,902900
2019-11-14,9.340000,9.410000,9.300000,9.370000,9.176405,659700
2019-11-15,9.400000,9.600000,9.400000,9.560000,9.362478,849900
2019-11-18,9.600000,9.600000,9.220000,9.260000,9.068677,1537200
2019-11-19,9.300000,9.430000,9.220000,9.410000,9.215577,1132900
2019-11-20,9.400000,9.690000,9.370000,9.640000,9.440826,2311800
2019-11-21,9.650000,9.710000,9.430000,9.620000,9.421239,1283600
2019-11-22,9.660000,9.690000,9.430000,9.460000,9.264545,1095000
2019-11-25,9.460000,9.490000,9.350000,9.380000,9.186197,1196600
2019-11-26,9.350000,9.390000,9.220000,9.310000,9.176342,766100
2019-11-27,9.250000,9.390000,9.250000,9.390000,9.255193,1067500
2019-11-29,9.350000,9.350000,9.240000,9.250000,9.117203,606900
2019-12-02,9.170000,9.220000,9.030000,9.130000,8.998925,1596200
2019-12-03,9.100000,9.200000,9.030000,9.170000,9.038351,1312400
2019-12-04,9.240000,9.400000,9.210000,9.350000,9.215767,2752400
2019-12-05,9.400000,9.450000,9.160000,9.290000,9.156628,1809600
2019-12-06,9.370000,9.830000,9.300000,9.770000,9.629737,4164600
2019-12-09,9.710000,9.800000,9.100000,9.120000,8.989068,4292700
2019-12-10,9.120000,9.150000,8.850000,8.960000,8.831366,2086700
2019-12-11,9.020000,9.260000,9.000000,9.100000,8.969357,2351400
2019-12-12,9.130000,9.330000,9.120000,9.270000,9.136916,2077400
2019-12-13,9.250000,9.270000,9.040000,9.120000,8.989068,1794600
2019-12-16,9.250000,9.420000,8.900000,8.920000,8.791941,2200800
2019-12-17,8.980000,8.990000,8.650000,8.730000,8.604667,3315200
2019-12-18,8.770000,8.870000,8.650000,8.760000,8.634237,2138200
2019-12-19,8.700000,8.850000,8.680000,8.800000,8.673662,1692900
2019-12-20,8.750000,8.800000,8.610000,8.640000,8.515960,3928200
2019-12-23,8.620000,8.880000,8.620000,8.850000,8.722945,3171300
2019-12-24,8.870000,8.940000,8.800000,8.860000,8.732801,1062000
2019-12-26,8.900000,9.010000,8.860000,8.920000,8.791941,1341000
2019-12-27,8.900000,8.920000,8.810000,8.830000,8.703233,1561900
2019-12-30,8.830000,8.970000,8.810000,8.900000,8.772227,1880200
2019-12-31,8.890000,8.960000,8.800000,8.900000,8.772227,1492700
2020-01-02,8.900000,8.960000,8.850000,8.940000,8.811652,1417200
2020-01-03,8.920000,9.060000,8.850000,9.050000,8.920074,1945600
2020-01-06,9.100000,9.340000,9.030000,9.200000,9.067920,3638900
2020-01-07,9.140000,9.200000,8.950000,9.010000,8.880648,1974600
2020-01-08,9.010000,9.120000,8.900000,8.900000,8.772227,1207500
2020-01-09,8.900000,8.900000,8.560000,8.610000,8.486390,3278500
2020-01-10,8.650000,9.040000,8.650000,8.950000,8.821509,3162100
2020-01-13,8.970000,9.100000,8.910000,9.100000,8.969357,2014100
2020-01-14,9.110000,9.180000,8.900000,8.990000,8.860934,1577600
2020-01-15,8.990000,9.020000,8.770000,8.770000,8.644094,2249500
2020-01-16,8.840000,8.970000,8.790000,8.900000,8.772227,1954900
2020-01-17,8.980000,9.000000,8.800000,8.880000,8.752515,2078900
2020-01-21,8.850000,8.870000,8.650000,8.750000,8.624380,2228500
2020-01-22,8.780000,8.790000,8.540000,8.640000,8.515960,2829500
2020-01-23,8.550000,8.570000,8.470000,8.540000,8.417396,1971200
2020-01-24,8.510000,8.540000,8.310000,8.420000,8.299119,1976700
2020-01-27,8.260000,8.310000,8.120000,8.230000,8.111845,2919000
2020-01-28,8.250000,8.380000,8.230000,8.350000,8.230124,1668700
2020-01-29,8.350000,8.400000,8.290000,8.380000,8.259693,1650400
2020-01-30,8.300000,8.350000,8.140000,8.340000,8.220266,2823200
2020-01-31,8.290000,8.340000,8.050000,8.070000,7.954143,3136200
2020-02-03,8.070000,8.310000,8.000000,8.300000,8.180841,3442300
2020-02-04,8.440000,8.730000,8.440000,8.700000,8.575099,2964900
2020-02-05,8.770000,8.790000,8.520000,8.770000,8.644094,1994900
2020-02-06,8.800000,8.800000,8.530000,8.650000,8.525816,1630200
2020-02-07,8.830000,9.250000,8.450000,8.570000,8.446965,5158100
2020-02-10,8.510000,8.830000,8.420000,8.800000,8.673662,3569900
2020-02-11,8.860000,9.350000,8.830000,9.230000,9.097489,5107500
2020-02-12,9.300000,9.590000,9.260000,9.500000,9.363613,3332200
2020-02-13,9.440000,9.450000,9.250000,9.310000,9.176342,1418600
2020-02-14,9.310000,9.400000,9.240000,9.240000,9.107347,1235800
2020-02-18,9.210000,9.310000,9.150000,9.270000,9.136916,1805100
2020-02-19,9.310000,9.370000,9.210000,9.210000,9.077777,1358600
2020-02-20,9.190000,9.280000,9.060000,9.070000,8.939786,1563000
2020-02-21,9.030000,9.080000,8.890000,9.040000,8.910217,1921900
2020-02-24,8.740000,8.930000,8.640000,8.890000,8.762370,1968600
2020-02-25,8.870000,8.880000,8.590000,8.600000,8.476535,2428000
2020-02-26,8.690000,8.720000,8.490000,8.520000,8.397683,2215000
2020-02-27,8.360000,8.460000,8.140000,8.310000,8.190699,2399500
2020-02-28,8.110000,8.680000,8.000000,8.680000,8.555386,5378200
2020-03-02,8.710000,8.750000,8.330000,8.610000,8.486390,3956300
2020-03-03,8.620000,8.870000,8.390000,8.670000,8.545528,3224100
2020-03-04,8.800000,8.870000,8.670000,8.700000,8.575099,3021700
2020-03-05,8.540000,8.840000,8.490000,8.800000,8.673662,2274000
2020-03-06,8.610000,8.620000,8.350000,8.480000,8.358256,2790300
2020-03-09,7.900000,7.930000,7.130000,7.160000,7.057208,3910200
2020-03-10,7.470000,7.500000,6.910000,7.430000,7.323331,3186100
2020-03-11,7.300000,7.300000,6.810000,7.020000,6.919217,3079200
2020-03-12,6.500000,6.680000,6.000000,6.440000,6.347544,3574200
2020-03-13,6.710000,6.790000,6.370000,6.730000,6.633381,3651400
2020-03-16,6.010000,6.350000,5.820000,6.250000,6.160272,3334900
2020-03-17,6.300000,6.570000,6.100000,6.550000,6.455965,2726900
2020-03-18,6.090000,6.370000,5.300000,5.500000,5.421039,3597600
2020-03-19,5.570000,6.090000,5.360000,6.040000,5.953286,2604700
2020-03-20,6.140000,6.480000,6.100000,6.300000,6.209554,3532800
2020-03-23,6.210000,6.470000,6.130000,6.210000,6.120846,2347400
2020-03-24,6.660000,6.760000,6.140000,6.700000,6.603812,3839200
2020-03-25,6.780000,6.780000,6.250000,6.430000,6.337687,5953800
2020-03-26,6.460000,6.660000,6.070000,6.640000,6.544672,10254600
2020-03-27,6.430000,6.970000,6.350000,6.920000,6.820653,11271600
2020-03-30,6.950000,7.410000,6.720000,7.380000,7.274049,5184000
2020-03-31,7.480000,7.870000,7.200000,7.640000,7.530316,3925800
2020-04-01,7.540000,7.920000,7.360000,7.750000,7.638737,3614400
2020-04-02,7.880000,8.250000,7.550000,8.040000,7.924573,4377300
