Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,14.310000,14.670000,14.280000,14.650000,11.607314,459000
2019-07-31,14.670000,14.920000,14.620000,14.750000,11.686544,807600
2019-08-01,14.700000,14.740000,14.020000,14.090000,11.163621,639800
2019-08-02,14.030000,14.160000,13.810000,14.000000,11.092314,471500
2019-08-05,13.740000,13.820000,13.560000,13.770000,10.910081,731100
2019-08-06,13.890000,14.000000,13.600000,14.000000,11.092314,561000
2019-08-07,13.680000,13.860000,13.580000,13.800000,10.933852,653900
2019-08-08,13.970000,14.220000,13.830000,14.140000,11.203236,490200
2019-08-09,14.090000,14.200000,13.940000,13.990000,11.084389,510900
2019-08-12,13.830000,13.910000,13.690000,13.730000,10.878389,353400
2019-08-13,13.720000,14.080000,13.680000,13.830000,10.957621,307400
2019-08-14,13.500000,13.830000,13.270000,13.390000,10.609004,538300
2019-08-15,13.480000,13.500000,13.210000,13.220000,10.474314,334100
2019-08-16,13.300000,13.620000,13.300000,13.600000,10.775388,321800
2019-08-19,13.840000,13.870000,13.720000,13.770000,10.910081,271900
2019-08-20,13.680000,13.710000,13.500000,13.550000,10.735775,327900
2019-08-21,13.690000,13.690000,13.500000,13.570000,10.751621,418800
2019-08-22,13.690000,13.750000,13.480000,13.590000,10.767465,279300
2019-08-23,13.520000,13.700000,13.170000,13.210000,10.466389,703500
2019-08-26,13.290000,13.370000,13.170000,13.300000,10.537697,387200
2019-08-27,13.350000,13.400000,12.910000,12.920000,10.236621,463500
2019-08-28,12.780000,13.250000,12.780000,13.120000,10.395082,331100
2019-08-29,13.260000,13.500000,13.260000,13.410000,10.624851,268200
2019-08-30,13.450000,13.570000,13.370000,13.410000,10.624851,320000
2019-09-03,13.320000,13.320000,13.040000,13.170000,10.434697,424500
2019-09-04,13.220000,13.280000,13.050000,13.170000,10.434697,325400
2019-09-05,13.360000,13.710000,13.330000,13.560000,10.743699,482400
2019-09-06,13.570000,13.580000,13.430000,13.490000,10.688236,226000
2019-09-09,13.640000,14.180000,13.530000,14.130000,11.195314,872200
2019-09-10,14.220000,14.420000,14.140000,14.360000,11.377543,547600
2019-09-11,14.450000,14.660000,14.210000,14.660000,11.615234,563500
2019-09-12,14.540000,14.730000,14.390000,14.630000,11.591468,627800
2019-09-13,14.820000,14.940000,14.570000,14.840000,11.757849,490200
2019-09-16,14.690000,14.920000,14.610000,14.810000,11.734083,451700
2019-09-17,14.710000,14.720000,14.500000,14.650000,11.607314,471400
2019-09-18,14.630000,14.760000,14.510000,14.650000,11.607314,462000
2019-09-19,14.670000,14.880000,14.490000,14.510000,11.496388,445600
2019-09-20,14.550000,14.750000,14.500000,14.560000,11.536007,1930800
2019-09-23,14.460000,14.650000,14.330000,14.480000,11.472619,473400
2019-09-24,14.520000,14.590000,14.280000,14.410000,11.417160,628700
2019-09-25,14.400000,14.800000,14.400000,14.770000,11.702388,456300
2019-09-26,14.690000,14.710000,14.380000,14.390000,11.401311,368300
2019-09-27,14.490000,14.710000,14.360000,14.510000,11.496388,376200
2019-09-30,14.560000,14.560000,14.330000,14.340000,11.361697,364600
2019-10-01,14.430000,14.600000,13.980000,14.110000,11.179468,562000
2019-10-02,14.030000,14.130000,13.900000,14.000000,11.092314,600600
2019-10-03,13.970000,14.030000,13.730000,13.920000,11.028927,374100
2019-10-04,13.970000,14.080000,13.780000,14.070000,11.147774,336900
2019-10-07,14.060000,14.200000,13.980000,14.100000,11.171543,414200
2019-10-08,13.930000,13.980000,13.750000,13.800000,10.933852,587300
2019-10-09,13.930000,13.970000,13.730000,13.830000,10.957621,379800
2019-10-10,13.950000,14.040000,13.840000,13.870000,10.989313,441800
2019-10-11,14.150000,14.320000,13.970000,14.150000,11.211157,530700
2019-10-14,14.060000,14.080000,13.940000,14.010000,11.100237,433500
2019-10-15,14.080000,14.230000,14.000000,14.130000,11.195314,608900
2019-10-16,14.190000,14.290000,13.910000,14.000000,11.092314,598400
2019-10-17,14.080000,14.090000,13.930000,14.020000,11.108160,735200
2019-10-18,13.940000,14.390000,13.940000,14.360000,11.377543,740500
2019-10-21,14.560000,14.720000,14.410000,14.520000,11.504313,577300
