Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,7.730000,7.980000,7.680000,7.930000,7.566850,238000
2019-07-31,7.950000,8.230000,7.940000,8.040000,7.671813,304200
2019-08-01,8.040000,8.190000,7.870000,7.970000,7.605019,303500
2019-08-02,8.300000,8.300000,7.260000,8.080000,7.709981,773600
2019-08-05,7.870000,8.000000,7.690000,7.800000,7.442804,304900
2019-08-06,7.860000,7.920000,7.600000,7.800000,7.442804,270600
2019-08-07,7.670000,7.830000,7.580000,7.790000,7.433262,432500
2019-08-08,7.830000,7.970000,7.770000,7.940000,7.576393,336400
2019-08-09,7.930000,8.010000,7.880000,7.890000,7.528682,320000
2019-08-12,7.830000,8.170000,7.810000,7.920000,7.557308,489900
2019-08-13,7.960000,8.240000,7.870000,8.210000,7.834028,490700
2019-08-14,8.020000,8.030000,7.800000,7.880000,7.519140,315100
2019-08-15,7.900000,7.900000,7.610000,7.770000,7.414177,241900
2019-08-16,7.820000,8.010000,7.820000,7.930000,7.566850,298500
2019-08-19,8.020000,8.070000,7.930000,7.940000,7.576393,244900
2019-08-20,7.980000,8.150000,7.960000,8.120000,7.748149,269400
2019-08-21,8.180000,8.440000,8.120000,8.430000,8.043953,291800
2019-08-22,8.470000,8.550000,8.120000,8.450000,8.063037,365700
2019-08-23,8.470000,8.640000,8.410000,8.520000,8.129832,284400
2019-08-26,8.600000,8.640000,8.400000,8.520000,8.129832,167200
2019-08-27,8.610000,8.610000,8.350000,8.370000,7.986700,248500
2019-08-28,8.320000,8.390000,8.180000,8.210000,7.834028,311700
2019-08-29,8.270000,8.410000,8.230000,8.320000,7.938990,174600
2019-08-30,8.360000,8.360000,8.170000,8.210000,7.834028,119900
2019-09-03,8.140000,8.200000,7.970000,8.050000,7.681356,238800
2019-09-04,8.050000,8.150000,7.900000,7.910000,7.547766,223100
2019-09-05,8.030000,8.150000,7.880000,8.100000,7.729067,316500
2019-09-06,8.140000,8.180000,8.010000,8.140000,7.767234,383300
2019-09-09,8.150000,8.370000,8.090000,8.210000,7.834028,256600
2019-09-10,8.220000,8.440000,8.160000,8.290000,7.910364,256600
2019-09-11,8.350000,8.470000,8.150000,8.470000,8.082122,255700
2019-09-12,8.450000,8.660000,8.340000,8.560000,8.168001,288000
2019-09-13,8.510000,8.620000,8.440000,8.520000,8.129832,177000
2019-09-16,8.490000,8.570000,8.330000,8.380000,7.996243,171600
2019-09-17,8.380000,8.530000,8.280000,8.520000,8.129832,233100
2019-09-18,8.540000,8.580000,8.140000,8.280000,7.900823,204200
2019-09-19,8.280000,8.390000,8.210000,8.210000,7.834028,99000
2019-09-20,8.220000,8.330000,8.180000,8.250000,7.872196,346600
2019-09-23,8.230000,8.300000,8.090000,8.270000,7.891282,157600
2019-09-24,8.310000,8.370000,8.150000,8.180000,7.805401,147500
2019-09-25,8.180000,8.250000,8.050000,8.100000,7.729067,98100
2019-09-26,8.050000,8.060000,7.790000,7.800000,7.442804,101700
2019-09-27,7.770000,7.810000,7.600000,7.640000,7.290131,118400
2019-09-30,7.680000,7.690000,7.560000,7.650000,7.299673,147300
2019-10-01,7.620000,7.670000,7.360000,7.440000,7.099289,175200
2019-10-02,7.400000,7.570000,7.290000,7.530000,7.185169,182700
2019-10-03,7.520000,7.610000,7.350000,7.540000,7.194710,171900
2019-10-04,7.540000,7.640000,7.430000,7.470000,7.127916,73900
2019-10-07,7.430000,7.490000,7.320000,7.410000,7.070663,99900
2019-10-08,7.360000,7.480000,7.280000,7.460000,7.118374,177000
2019-10-09,7.500000,7.720000,7.460000,7.700000,7.347383,174400
2019-10-10,7.690000,7.840000,7.660000,7.680000,7.328299,280000
2019-10-11,7.720000,7.920000,7.620000,7.840000,7.480973,200600
2019-10-14,7.800000,7.960000,7.720000,7.820000,7.461888,161000
2019-10-15,7.820000,7.900000,7.770000,7.880000,7.519140,98800
2019-10-16,7.840000,7.950000,7.830000,7.920000,7.557308,198700
2019-10-17,7.950000,8.230000,7.920000,8.190000,7.814943,295300
2019-10-18,8.130000,8.190000,7.910000,7.950000,7.585934,239400
2019-10-21,7.970000,8.020000,7.890000,8.010000,7.643188,131600
2019-10-22,8.020000,8.160000,7.980000,8.100000,7.729067,163600
2019-10-23,8.110000,8.200000,8.020000,8.090000,7.719522,137100
2019-10-24,8.110000,8.170000,7.980000,8.100000,7.729067,112000
2019-10-25,8.090000,8.250000,8.000000,8.220000,7.843571,112500
2019-10-28,8.220000,8.290000,8.050000,8.140000,7.767234,111700
2019-10-29,8.100000,8.140000,8.000000,8.120000,7.748149,125400
2019-10-30,8.130000,8.150000,8.030000,8.130000,7.757692,90100
2019-10-31,8.130000,8.240000,8.030000,8.220000,7.843571,154500
2019-11-01,8.240000,8.420000,7.940000,8.010000,7.643188,474000
2019-11-04,8.100000,8.210000,8.050000,8.130000,7.757692,150000
2019-11-05,8.150000,8.260000,8.110000,8.210000,7.834028,135000
2019-11-06,8.150000,8.270000,8.110000,8.230000,7.853112,185300
2019-11-07,7.520000,8.140000,7.410000,7.660000,7.309215,475500
2019-11-08,7.650000,7.740000,7.520000,7.630000,7.280589,207300
2019-11-11,7.560000,7.620000,7.450000,7.510000,7.166085,146600
2019-11-12,7.500000,7.580000,7.360000,7.440000,7.099289,156300
2019-11-13,7.360000,7.440000,7.270000,7.420000,7.080206,318100
