Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,32.939999,33.110001,32.700001,32.970001,26.794769,355400
2019-07-31,32.939999,33.020000,32.259998,32.340000,26.282766,677800
2019-08-01,32.369999,32.480000,30.950001,31.240000,25.388792,759000
2019-08-02,28.219999,29.040001,25.410000,27.410000,22.276150,2005200
2019-08-05,27.180000,27.500000,26.000000,27.150000,22.064846,2143000
2019-08-06,27.010000,27.420000,26.440001,26.809999,21.788527,1201400
2019-08-07,26.480000,26.530001,25.820000,26.190001,21.284655,1109900
2019-08-08,26.389999,26.920000,26.129999,26.740000,21.731632,909100
2019-08-09,26.510000,26.629999,25.469999,25.510000,20.732012,739700
2019-08-12,25.270000,25.490000,25.040001,25.180000,20.463821,376500
2019-08-13,25.190001,25.870001,25.010000,25.330000,20.585726,536800
2019-08-14,24.980000,25.100000,24.620001,24.840000,20.187506,688300
2019-08-15,24.820000,24.900000,24.370001,24.420000,19.846170,742900
2019-08-16,24.450001,25.000000,24.370001,24.809999,20.163122,791600
2019-08-19,25.020000,25.129999,24.330000,24.850000,20.195631,943200
2019-08-20,24.969999,24.980000,24.490000,24.590000,19.984327,619300
2019-08-21,24.770000,24.850000,24.469999,24.809999,20.163122,549300
2019-08-22,24.850000,25.170000,24.709999,24.790001,20.146872,660300
2019-08-23,24.480000,25.059999,24.110001,24.209999,19.675503,732700
2019-08-26,24.350000,24.680000,24.270000,24.610001,20.000584,587800
2019-08-27,24.670000,24.799999,24.379999,24.379999,19.813663,666900
2019-08-28,24.260000,25.030001,24.260000,24.760000,20.122488,545000
2019-08-29,24.980000,25.440001,24.900000,25.219999,20.496330,379600
2019-08-30,25.320000,25.379999,25.090000,25.200001,20.480074,345600
2019-09-03,25.040001,25.150000,24.740000,24.980000,20.301279,439600
2019-09-04,25.240000,25.480000,25.209999,25.320000,20.577600,445800
2019-09-05,25.590000,25.850000,25.260000,25.280001,20.545094,814200
2019-09-06,25.389999,25.820000,25.340000,25.790001,20.959572,491300
2019-09-09,25.840000,26.620001,25.809999,26.270000,21.349665,921200
2019-09-10,26.440001,27.000000,26.379999,26.950001,21.902302,559600
2019-09-11,27.000000,27.440001,26.709999,27.389999,22.259897,424700
2019-09-12,27.420000,27.430000,26.969999,27.280001,22.170500,539600
2019-09-13,27.160000,27.309999,26.520000,26.860001,21.961996,706300
2019-09-16,26.690001,26.830000,26.240000,26.600000,21.749409,540200
2019-09-17,26.379999,26.410000,25.690001,25.980000,21.242466,620600
2019-09-18,25.870001,25.990000,25.500000,25.740000,21.046230,794700
2019-09-19,25.830000,26.200001,25.660000,25.950001,21.217939,1153200
2019-09-20,26.010000,26.280001,25.620001,25.680000,20.997169,1500400
2019-09-23,25.500000,26.260000,25.500000,26.059999,21.307880,826000
2019-09-24,26.139999,26.139999,25.500000,25.520000,20.866350,579400
2019-09-25,25.450001,26.010000,25.400000,25.980000,21.242466,760900
2019-09-26,25.969999,25.969999,25.549999,25.639999,20.964468,447000
2019-09-27,25.719999,25.850000,25.219999,25.459999,20.817289,599100
2019-09-30,25.420000,26.110001,25.420000,25.799999,21.095289,540000
2019-10-01,25.950001,26.129999,25.250000,25.379999,20.751873,583700
2019-10-02,25.090000,25.340000,24.490000,24.590000,20.105940,1066900
2019-10-03,24.540001,24.639999,24.010000,24.400000,19.950583,1785400
2019-10-04,24.410000,25.090000,24.410000,25.070000,20.498405,841900
2019-10-07,25.010000,25.260000,24.450001,24.490000,20.024176,698700
2019-10-08,24.350000,24.830000,24.250000,24.590000,20.105940,637800
2019-10-09,24.790001,25.129999,24.320000,24.559999,20.081408,617100
2019-10-10,24.540001,24.660000,24.250000,24.389999,19.942408,802800
2019-10-11,24.670000,25.750000,24.580000,25.360001,20.735527,1015300
2019-10-14,25.230000,25.500000,24.930000,25.230000,20.629230,671900
2019-10-15,25.360001,26.070000,25.250000,25.650000,20.972645,689600
2019-10-16,25.580000,25.870001,25.059999,25.129999,20.547470,587800
2019-10-17,25.260000,25.559999,25.129999,25.549999,20.890881,596500
2019-10-18,25.549999,25.879999,25.459999,25.700001,21.013525,383200
2019-10-21,25.930000,26.340000,25.850000,25.870001,21.152531,482200
2019-10-22,25.860001,26.670000,25.670000,26.180000,21.406000,757100
2019-10-23,26.190001,26.719999,26.139999,26.420000,21.602234,684800
2019-10-24,26.500000,26.650000,25.830000,26.000000,21.258820,461500
2019-10-25,25.940001,26.230000,25.840000,26.059999,21.307880,661300
2019-10-28,26.170000,26.770000,26.170000,26.379999,21.569525,673800
2019-10-29,26.270000,26.480000,26.020000,26.370001,21.561348,760800
2019-10-30,26.360001,26.840000,26.320000,26.680000,21.814823,653700
2019-10-31,26.559999,26.580000,25.629999,26.090000,21.332411,3914600
2019-11-01,25.090000,25.110001,21.440001,21.930000,17.931000,3129300
2019-11-04,23.049999,24.330000,22.990000,23.740000,19.410938,2192900
2019-11-05,23.770000,24.430000,23.650000,24.299999,19.868820,1622200
2019-11-06,24.270000,24.290001,23.340000,23.559999,19.263760,1200300
2019-11-07,23.799999,24.469999,23.750000,24.350000,19.909702,884700
2019-11-08,24.350000,24.350000,23.530001,23.840000,19.492704,830400
2019-11-11,23.660000,23.870001,23.510000,23.780001,19.443640,631800
2019-11-12,23.809999,23.830000,23.440001,23.650000,19.337349,635900
2019-11-13,23.430000,23.700001,23.299999,23.590000,19.288296,580400
2019-11-14,23.490000,23.670000,23.219999,23.260000,19.018471,591200
2019-11-15,23.360001,23.820000,23.320000,23.700001,19.378233,699600
2019-11-18,23.740000,23.740000,23.230000,23.360001,19.100235,692100
2019-11-19,23.350000,23.400000,22.860001,23.150000,18.928526,794100
2019-11-20,23.250000,23.430000,22.920000,23.150000,18.928526,850300
2019-11-21,23.270000,23.370001,22.959999,23.350000,19.092056,628700
2019-11-22,23.430000,23.730000,23.350000,23.500000,19.214705,510800
2019-11-25,23.650000,23.719999,23.440001,23.639999,19.329166,556600
2019-11-26,23.559999,23.730000,23.370001,23.500000,19.214705,572700
2019-11-27,23.520000,23.830000,23.500000,23.610001,19.304642,383500
2019-11-29,23.580000,23.980000,23.500000,23.709999,19.386408,255400
2019-12-02,23.639999,23.740000,23.320000,23.500000,19.214705,638800
2019-12-03,23.299999,23.549999,23.090000,23.500000,19.214705,872000
2019-12-04,23.549999,23.980000,23.530001,23.750000,19.419113,713500
2019-12-05,23.870001,23.950001,23.670000,23.750000,19.419113,597700
2019-12-06,24.100000,24.660000,24.070000,24.600000,20.114113,888000
2019-12-09,24.549999,24.879999,24.230000,24.309999,19.876999,682300
2019-12-10,24.320000,24.459999,23.790001,23.959999,19.590820,709300
2019-12-11,24.020000,24.440001,24.020000,24.129999,19.729820,521500
2019-12-12,24.250000,24.600000,24.120001,24.320000,19.885172,453400
2019-12-13,24.110001,24.309999,23.860001,24.020000,19.774040,645600
2019-12-16,24.080000,24.639999,24.080000,24.309999,20.012775,886400
2019-12-17,24.350000,24.420000,23.910000,24.240000,19.955151,1007100
2019-12-18,24.219999,24.520000,24.129999,24.350000,20.045706,1072000
2019-12-19,24.400000,24.980000,24.379999,24.809999,20.424389,985600
2019-12-20,25.030001,25.139999,24.850000,24.920000,20.514948,1869900
2019-12-23,24.930000,25.040001,24.680000,24.820000,20.432621,648600
2019-12-24,24.889999,25.139999,24.760000,24.780001,20.399691,225000
2019-12-26,24.840000,25.110001,24.680000,24.820000,20.432621,489200
2019-12-27,24.809999,24.990000,24.639999,24.860001,20.465555,509200
2019-12-30,24.980000,25.110001,24.780001,25.010000,20.589037,505300
2019-12-31,24.900000,25.510000,24.809999,25.430000,20.934793,621300
