Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,6.140000,6.400000,6.120000,6.390000,5.723182,1054000
2019-07-31,6.380000,6.420000,6.130000,6.200000,5.553010,1071300
2019-08-01,6.170000,6.320000,5.940000,5.980000,5.355968,1982100
2019-08-02,5.950000,6.010000,5.760000,5.940000,5.320142,1028100
2019-08-05,5.820000,5.820000,5.530000,5.730000,5.132055,1639200
2019-08-06,5.770000,5.780000,5.570000,5.640000,5.078034,501600
2019-08-07,5.520000,5.520000,5.330000,5.480000,4.933977,1199800
2019-08-08,5.510000,5.600000,5.430000,5.460000,4.915969,622300
2019-08-09,5.430000,5.440000,5.300000,5.380000,4.843940,668500
2019-08-12,5.350000,5.360000,5.220000,5.330000,4.798922,822200
2019-08-13,5.300000,5.550000,5.280000,5.460000,4.915969,570200
2019-08-14,5.340000,5.350000,5.220000,5.260000,4.735897,760400
2019-08-15,5.270000,5.400000,5.260000,5.390000,4.852945,749500
2019-08-16,5.430000,5.580000,5.420000,5.510000,4.960988,511300
2019-08-19,5.590000,5.640000,5.540000,5.540000,4.987999,432600
2019-08-20,5.520000,5.540000,5.420000,5.500000,4.951983,791700
2019-08-21,5.560000,5.600000,5.470000,5.480000,4.933977,699300
2019-08-22,5.510000,5.560000,5.380000,5.400000,4.861947,1082400
2019-08-23,5.370000,5.370000,4.960000,4.970000,4.474792,3325900
2019-08-26,5.030000,5.080000,4.950000,4.970000,4.474792,1082400
2019-08-27,5.000000,5.000000,4.700000,4.750000,4.276713,1240800
2019-08-28,4.690000,4.760000,4.560000,4.690000,4.222692,1404700
2019-08-29,4.750000,4.930000,4.720000,4.830000,4.348742,1658600
2019-08-30,4.880000,4.940000,4.790000,4.810000,4.330736,759600
2019-09-03,4.750000,4.770000,4.560000,4.620000,4.159667,997300
2019-09-04,4.670000,4.730000,4.620000,4.690000,4.222692,867000
2019-09-05,4.740000,4.930000,4.690000,4.910000,4.420771,1050300
2019-09-06,4.870000,5.020000,4.820000,4.950000,4.456786,569200
2019-09-09,4.980000,5.140000,4.930000,5.090000,4.582836,735000
2019-09-10,5.150000,5.280000,5.090000,5.180000,4.663868,1159700
2019-09-11,5.180000,5.390000,5.110000,5.330000,4.798922,2688200
2019-09-12,5.330000,5.350000,5.170000,5.300000,4.771912,828300
2019-09-13,5.350000,5.570000,5.320000,5.550000,4.997001,1688400
2019-09-16,5.540000,5.610000,5.450000,5.520000,4.969992,1161700
2019-09-17,5.500000,5.520000,5.390000,5.490000,4.942981,1277500
2019-09-18,5.480000,5.560000,5.290000,5.480000,4.933977,1742700
2019-09-19,5.490000,5.580000,5.460000,5.520000,4.969992,1132900
2019-09-20,5.510000,5.650000,5.490000,5.570000,5.015009,1753300
2019-09-23,5.490000,5.630000,5.490000,5.630000,5.069031,1179100
2019-09-24,5.630000,5.650000,5.350000,5.400000,4.861947,1655800
2019-09-25,5.410000,5.520000,5.360000,5.490000,4.942981,541800
2019-09-26,5.460000,5.500000,5.340000,5.390000,4.852945,445400
2019-09-27,5.370000,5.400000,5.240000,5.250000,4.726892,646500
2019-09-30,5.230000,5.270000,5.120000,5.230000,4.708886,897200
2019-10-01,5.230000,5.250000,4.860000,4.910000,4.420771,968200
2019-10-02,4.900000,4.950000,4.790000,4.850000,4.366748,1111500
2019-10-03,4.860000,4.950000,4.810000,4.900000,4.411768,1132300
2019-10-04,4.870000,5.020000,4.790000,5.000000,4.501803,1698300
2019-10-07,4.970000,5.050000,4.920000,4.940000,4.447782,774600
2019-10-08,4.840000,4.890000,4.680000,4.730000,4.258706,723900
2019-10-09,4.750000,4.820000,4.680000,4.720000,4.249701,709200
2019-10-10,4.710000,4.740000,4.550000,4.570000,4.114648,1239000
