Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,22.905907,23.424686,22.732979,23.175673,23.175673,2904116
2019-07-31,23.130711,23.708286,22.826361,23.338224,23.338224,4302683
2019-08-01,23.331306,23.345140,22.355999,22.428629,22.428629,4905250
2019-08-02,23.812044,25.748825,23.158381,24.891108,24.891108,12814947
2019-08-05,24.189024,24.209776,22.525467,23.275970,23.275970,5715708
2019-08-06,23.646034,24.150980,23.324390,23.566486,23.566486,3332621
2019-08-07,23.154921,23.687536,22.760649,23.642574,23.642574,2358799
2019-08-08,23.943468,24.486460,23.780916,24.375786,24.375786,3002713
2019-08-09,24.206318,24.431122,23.355516,23.400476,23.400476,3044060
2019-08-12,23.220633,23.220633,22.532385,22.684561,22.684561,2656902
2019-08-13,22.560053,23.753248,22.383667,23.365892,23.365892,2920597
2019-08-14,23.006205,23.006205,22.221115,22.632683,22.632683,2830096
2019-08-15,22.798693,22.867863,22.269535,22.494341,22.494341,2507706
2019-08-16,22.726063,23.403936,22.708771,23.113419,23.113419,2876359
2019-08-19,23.531902,23.832794,22.269535,23.545736,23.545736,1856853
2019-08-20,23.611448,23.780916,23.054623,23.199883,23.199883,1644625
2019-08-21,23.376268,23.991888,23.289804,23.836252,23.836252,2388291
2019-08-22,24.036848,24.410372,23.774000,23.988428,23.988428,2781521
2019-08-23,23.642574,23.829336,22.898989,23.078833,23.078833,2980160
2019-08-26,23.448896,23.452356,22.943951,23.355516,23.355516,1445119
2019-08-27,23.677160,23.677160,22.632683,22.916283,22.916283,3298213
2019-08-28,22.843653,23.486940,22.387125,23.386642,23.386642,2027445
2019-08-29,23.753248,24.348118,23.753248,24.154440,24.154440,2752318
2019-08-30,24.393078,25.015615,24.327366,24.507210,24.507210,3339271
2019-09-03,24.220152,24.503752,23.217175,23.279428,23.279428,2897755
2019-09-04,23.780916,24.320450,23.473106,23.677160,23.677160,3007628
2019-09-05,24.209776,25.136663,24.178650,24.842688,24.842688,3221880
2019-09-06,24.970654,25.198917,24.693972,24.967196,24.967196,4317430
2019-09-09,25.053659,25.907919,25.005239,25.852583,25.852583,3803051
2019-09-10,25.852583,26.122349,25.617401,26.084305,26.084305,3512755
2019-09-11,26.250315,26.423241,25.883709,26.015133,26.015133,2763594
2019-09-12,26.060095,26.399031,25.313049,25.911377,25.911377,2245457
2019-09-13,26.274525,26.475119,25.696947,25.849123,25.849123,2400435
2019-09-16,25.544771,26.018593,25.364927,25.786869,25.786869,2325837
2019-09-17,25.631235,25.669279,25.088245,25.562065,25.562065,2704610
2019-09-18,24.998323,25.472143,24.393078,25.458307,25.458307,2242565
2019-09-19,25.517103,25.600107,25.102079,25.268089,25.268089,1696381
2019-09-20,25.437557,25.831831,24.725098,24.856522,24.856522,3471697
2019-09-23,24.828854,25.147039,24.517586,24.642094,24.642094,2237072
2019-09-24,24.687054,25.005239,24.337742,24.472626,24.472626,2287382
2019-09-25,24.455332,25.185083,24.417288,24.911860,24.911860,2318609
2019-09-26,24.842688,24.870358,24.292782,24.472626,24.472626,2062142
2019-09-27,24.451874,24.607508,24.126772,24.396538,24.396538,2005760
2019-09-30,24.434582,24.808104,24.150980,24.752766,24.752766,1744378
2019-10-01,24.981030,25.378761,24.047224,24.227068,24.227068,3194412
2019-10-02,23.929634,23.978052,23.549194,23.877756,23.877756,2116211
2019-10-03,23.708286,23.756706,22.999287,23.739414,23.739414,2550210
2019-10-04,23.905424,24.272030,23.514608,24.237444,24.237444,1966437
2019-10-07,24.043766,24.341200,23.732496,24.102562,24.102562,1604435
2019-10-08,24.005722,24.005722,23.580320,23.722122,23.722122,1581593
2019-10-09,23.978052,24.095644,23.791292,24.002262,24.002262,962256
2019-10-10,23.981512,24.700888,23.981512,24.569464,24.569464,1671515
2019-10-11,25.060575,25.738449,24.766600,25.607025,25.607025,2983919
2019-10-14,25.586273,26.032427,25.288839,25.828371,25.828371,1554992
2019-10-15,25.901001,26.613461,25.714239,26.233021,26.233021,2616712
2019-10-16,26.284899,26.876308,26.284899,26.613461,26.613461,2266564
2019-10-17,26.748344,27.025026,26.547749,26.620378,26.620378,2329885
2019-10-18,26.616919,26.623837,25.997841,26.540831,26.540831,2375569
2019-10-21,26.782928,27.232538,26.706841,26.758718,26.758718,1814928
2019-10-22,26.824430,27.125324,26.575417,26.776012,26.776012,3457529
2019-10-23,26.751802,27.215246,26.634212,27.045778,27.045778,2187629
2019-10-24,27.083822,27.229080,26.520081,27.038860,27.038860,1550655
2019-10-25,26.852100,27.754778,26.852100,27.571476,27.571476,2807544
2019-10-28,27.716736,28.079882,27.619896,27.806658,27.806658,4602232
2019-10-29,27.993418,28.263184,27.045778,28.142136,28.142136,4932140
2019-10-30,27.941540,27.944998,27.083822,27.381256,27.381256,2954716
2019-10-31,27.274042,27.274042,26.115431,26.423241,26.423241,2136451
2019-11-01,26.758718,27.457344,26.637671,27.450426,27.450426,1908031
2019-11-04,27.796282,28.557159,27.727110,28.415359,28.415359,2640710
2019-11-05,28.532949,29.010227,28.491447,28.937599,28.937599,2507706
2019-11-06,28.847677,29.241949,28.709335,28.864969,28.864969,1859166
2019-11-07,29.145111,29.905991,29.113983,29.290371,29.290371,2405640
2019-11-08,29.283453,29.892157,29.193531,29.273077,29.273077,1660238
2019-11-11,28.992935,29.373375,28.930681,29.117443,29.117443,1588243
2019-11-12,29.411419,29.888697,29.297287,29.629307,29.629307,3142367
2019-11-13,29.311121,29.473673,28.861511,28.944515,28.944515,2049131
2019-11-14,28.882261,29.228115,28.882261,29.169321,29.169321,3394207
2019-11-15,29.432171,29.601639,28.871887,28.927223,28.927223,3771534
2019-11-18,28.733545,29.290371,28.477613,29.228115,29.228115,3803051
2019-11-19,29.356083,29.466755,28.674749,28.885721,28.885721,2006917
2019-11-20,28.747379,28.968725,28.290852,28.446486,28.446486,2671937
2019-11-21,28.370398,28.768131,28.204390,28.366940,28.366940,1382954
2019-11-22,28.501823,28.837301,28.384233,28.809633,28.809633,1039456
2019-11-25,29.020603,29.432171,28.809633,29.169321,29.169321,1579279
2019-11-26,29.075941,29.338791,28.743921,29.079399,29.079399,1735415
2019-11-27,29.283453,29.397585,28.996393,29.145111,29.145111,1122728
2019-11-29,29.089775,29.214281,28.536407,28.598661,28.598661,672249
2019-12-02,28.688583,28.889179,28.093716,28.107550,28.107550,1489068
2019-12-03,27.564560,27.754778,27.104572,27.661398,27.661398,1852805
2019-12-04,27.886204,28.280476,27.775530,27.803198,27.803198,1357799
2019-12-05,28.076424,28.273560,27.944998,28.107550,28.107550,1737728
2019-12-06,28.321980,28.653999,28.256268,28.425735,28.425735,1475767
2019-12-09,28.283936,28.647081,28.252808,28.550243,28.550243,1149329
2019-12-10,28.432652,28.508739,27.727110,28.014170,28.014170,1426903
2019-12-11,28.045296,28.408442,28.045296,28.277018,28.277018,1016325
2019-12-12,28.277018,29.075941,28.117926,28.871887,28.871887,1375725
2019-12-13,28.823467,29.279993,28.719711,28.813091,28.813091,1267009
2019-12-16,28.889179,29.075941,28.536407,28.543325,28.543325,1640288
2019-12-17,28.543325,28.792339,28.242434,28.321980,28.321980,1662552
2019-12-18,28.083340,28.135218,27.336294,27.550726,27.550726,3146993
2019-12-19,27.481554,27.557642,26.952396,27.049236,27.049236,2796267
2019-12-20,27.187578,27.702900,26.499329,27.191036,27.191036,4934742
2019-12-23,27.367422,27.519598,26.931646,27.021568,27.021568,1631614
2019-12-24,27.045778,27.443510,27.045778,27.274042,27.274042,691043
2019-12-26,27.460802,27.626814,27.218704,27.592228,27.592228,1116946
2019-12-27,27.668316,28.048754,27.350128,27.772072,27.772072,1650697
2019-12-30,27.865452,27.865452,27.346670,27.395090,27.395090,990592
2019-12-31,27.277500,27.678692,27.277500,27.564560,27.564560,1372256
2020-01-02,27.799740,28.097174,27.478094,27.827408,27.827408,1535908
2020-01-03,27.426216,27.523056,26.948938,27.059612,27.059612,2478214
2020-01-06,26.623837,26.699924,26.077387,26.606543,26.606543,2709236
2020-01-07,26.582335,27.239456,26.530457,26.807138,26.807138,1765485
2020-01-08,26.779470,27.239456,26.779470,27.035402,27.035402,2057516
2020-01-09,27.287876,27.460802,27.149534,27.225622,27.225622,1474611
2020-01-10,27.242914,27.270582,26.803680,26.997358,26.997358,1663997
2020-01-13,27.066528,27.578394,27.018110,27.488470,27.488470,2036987
2020-01-14,27.723652,28.349648,27.516138,28.214764,28.214764,4078022
