Lookback,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
20,5,0.01,0.03,10000,10456.147423679977,-0.050875505683990796,0.10543276820165767,0.012299162810609499,7.166795373037697,0.044604982662294845,0.008975217231589868,0.04561474236799768,460.5248323200001,120,0.4666666666666667,1.3397712890307467
20,5,0.01,0.05,10000,11079.182617125987,0.18515619014106974,0.2600010336377438,0.05070877896757928,4.445996438132705,0.10248281458636649,0.020741321263447896,0.10791826171259872,451.8883498740001,111,0.46846846846846846,1.5807112483854482
20,5,0.01,0.07,10000,10841.77907602198,0.09939632097341804,0.20735818152893443,0.02896316487065872,6.433710806513657,0.0808220109552519,0.01632187060694434,0.08417790760219795,421.16053497800004,105,0.45714285714285713,1.5489728292254255
20,5,0.02,0.03,10000,11615.132963903983,0.33806813429243937,0.3957826786646488,0.11021921706706506,3.0260447650847846,0.14972372076538484,0.03044665209826393,0.16151329639039833,454.7052580959999,111,0.5585585585585585,1.3431983984608857
20,5,0.02,0.05,10000,11440.003212383986,0.3089744006652887,0.35023493570368275,0.07445395781899919,4.232252627502634,0.13453117376036278,0.027315419600938504,0.14400032123839865,432.475515616,105,0.5238095238095238,1.3986508586489228
20,5,0.02,0.07,10000,10794.089517743972,0.08354845504643879,0.20487956211985897,0.029968378910661557,6.213499363920056,0.07641362445539555,0.015424774254652664,0.07940895177439725,394.5859322560001,99,0.48484848484848486,1.3571103958606276
20,5,0.03,0.03,10000,11911.135579203976,0.34951697376919305,0.44337345964067026,0.09691647669271339,4.066420660775859,0.17488863252854098,0.035654231731015236,0.19111355792039758,462.8108367959999,110,0.5818181818181818,1.3187016313055167
20,5,0.03,0.05,10000,11904.501209925986,0.3901464082311984,0.4706356314360043,0.10970686444514023,3.778721009765858,0.17433148853878785,0.035538653006106445,0.19045012099259856,437.86906107399994,104,0.5480769230769231,1.4418991958563006
20,5,0.03,0.07,10000,11479.524259707981,0.25638482748769303,0.385499616102159,0.09759162886701098,3.587572151156934,0.13797985624669357,0.028025368253222122,0.14795242597079813,403.405796292,97,0.5257731958762887,1.4306981826144485
20,10,0.01,0.03,10000,10484.321292285982,-0.03911307536500191,0.1131319068350909,0.01324078014100401,7.1461561889068,0.0472958379614797,0.009519228375725277,0.04843212922859821,457.8134907140001,119,0.47058823529411764,1.3320275976252334
20,10,0.01,0.05,10000,10884.52022273799,0.11485676167677564,0.21438765973266147,0.0368327267070042,5.072712719499267,0.08475652380216904,0.017123204100448607,0.08845202227379904,441.20055626200025,110,0.45454545454545453,1.5743182528933937
20,10,0.01,0.07,10000,10861.13916658799,0.10423750312680184,0.21776860227162384,0.02993105370527448,6.488695164725672,0.08260611164483454,0.01668515617067572,0.08611391665879892,407.8668414120001,103,0.44660194174757284,1.624077026072262
20,10,0.02,0.03,10000,11590.722646445985,0.33113517334239634,0.4019373753215569,0.10933029814996509,3.0324107013895927,0.14761991327203303,0.030012482009200002,0.15907226464459853,450.75280455399997,110,0.5636363636363636,1.2874244508787198
20,10,0.02,0.05,10000,11419.101340701984,0.2612912473585647,0.3619798661719793,0.07470215281004211,4.27504082296615,0.13270241643010658,0.02693914904022001,0.14191013407019837,420.932022298,102,0.5196078431372549,1.3852976988064347
20,10,0.02,0.07,10000,10850.961408567979,0.1007147710323298,0.23714940314511215,0.030509290671353727,6.731559734160816,0.08166859215147614,0.01649423859585758,0.08509614085679787,376.9451734320001,96,0.4791666666666667,1.4029526431740245
20,10,0.03,0.03,10000,11505.512910975984,0.2954218592932529,0.39412963558650355,0.08300072859785151,3.9146596492262407,0.14024121107069634,0.028491158952529926,0.15055129109759838,438.263529024,107,0.5887850467289719,1.1657899427184708
20,10,0.03,0.05,10000,11322.72686443999,0.2717047191892333,0.37798585887352787,0.08628751095663117,3.5449213342869768,0.12422683985667886,0.025197080494603386,0.132272686443999,406.42480556,100,0.53,1.324051297263171
20,10,0.03,0.07,10000,11150.442536871979,0.20016618337646205,0.35150003428480264,0.057114558270536984,5.181302836851972,0.10889409353003707,0.022053095748355022,0.11504425368719785,361.23264314399995,92,0.5,1.4203514885682016
20,15,0.01,0.03,10000,10514.687194773982,-0.025969294085509857,0.12065324181942645,0.014136139578334267,7.12637959545315,0.0501879672420392,0.010104258200280257,0.051468719477398193,457.8743442260001,119,0.47058823529411764,1.345007782353722
20,15,0.01,0.05,10000,10848.47997874599,0.10210199972547293,0.20530235913405595,0.03326037243347095,5.391303462659334,0.08143988305353088,0.01644766944558324,0.08484799787459905,440.3607962540002,110,0.45454545454545453,1.559066457831911
20,15,0.01,0.07,10000,10918.48634060199,0.12416231632473337,0.23494217545572013,0.03490746383080961,5.986021931659896,0.08787225421698822,0.01775822624783831,0.09184863406019904,407.319628398,102,0.4411764705882353,1.6834140161866558
20,15,0.02,0.03,10000,11621.088548933985,0.3420123678444509,0.4098574612703926,0.11159673753895666,3.024495669423955,0.15023633295210587,0.03055246938877385,0.16210885489339852,450.81365806599996,110,0.5636363636363636,1.2972217084796651
20,15,0.02,0.05,10000,11398.961243723983,0.25477608058058665,0.3564006593073316,0.07357145213927943,4.282448402167581,0.13093713928323805,0.02657607037990469,0.1398961243723983,421.262122276,102,0.5196078431372549,1.3791567524195785
20,15,0.02,0.07,10000,10856.726943249982,0.10292517825027316,0.24340862533517701,0.03146831812917182,6.631157234174174,0.08219978964465298,0.01660240787722697,0.08567269432499816,375.62959374999997,95,0.4631578947368421,1.489159957359437
20,15,0.03,0.03,10000,11535.878813463984,0.30569663505319294,0.4024532622284611,0.08480650970019954,3.9044484790749507,0.14287698241916505,0.029034337803893587,0.15358788134639836,438.324382536,107,0.5887850467289719,1.1752168507989194
20,15,0.03,0.05,10000,11303.53732742599,0.2632667478200603,0.36994756195013145,0.08496762021155962,3.550878408559983,0.12253062156344073,0.024848795132419117,0.13035373274259893,404.16100557399994,100,0.53,1.3204316512827976
20,15,0.03,0.07,10000,11087.39851778798,0.17811391648221567,0.3362423186080382,0.050237287317824224,5.633181573568166,0.10322410175087901,0.020892905597924706,0.10873985177879804,359.349910228,91,0.4835164835164835,1.4705381145394083
20,20,0.01,0.03,10000,10514.687194773982,-0.025969294085509857,0.12065324181942645,0.014136139578334267,7.12637959545315,0.0501879672420392,0.010104258200280257,0.051468719477398193,457.8743442260001,119,0.47058823529411764,1.345007782353722
20,20,0.01,0.05,10000,10892.681978761992,0.11775458809889408,0.2168210167514527,0.03770414817251398,5.000563931667674,0.08550609267062373,0.017275938762483685,0.08926819787619916,441.29215623800025,110,0.44545454545454544,1.6348728825521854
